Plant_Height (cm),Chlorophyll (SPAD),Number of Flowers,Number of Harvested Fruits,Weight of Harvested Fruits (Kg),Fruit Height (mm),Sap pH,Sap K (ppm),Sap Ca (ppm),Sap Na (ppm),Sap NO3 (ppm),Sap Conductivity (mS/cm),Soil pH Horiba,Soil K Horiba (ppm),Soil Ca Horiba (ppm),Soil Na Horiba (ppm),Soil NO3 Horiba (ppm),Soil Conductivity Horiba (mS/cm),Fruit Diameter (mm),7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],Nitrogen,Phosphorus,Potassium,Year,Month,Day,Treatment_Num
58.4,49.69,9.9,0.0,0.0,0.0,5.516,3085.0,380.0,46.5,1557.8,11.075,6.67,61.25,55.6,9.5,124.0,0.6163000000000001,0.0,6.33,24.8,30.0,32.1,47.6,0.282,431.0,2.0,1.0,1.0,2024.0,9.0,4.0,24.0
45.0,48.77,14.8,0.0,0.0,0.0,5.694,3350.0,272.0,43.45,1376.0,11.732,6.942,49.8,106.3,7.7,110.9,0.4988,0.0,6.15,29.6,30.8,32.3,53.0,0.363,261.0,0.0,0.0,1.0,2024.0,9.0,4.0,4.0
133.0,54.96999999999999,17.1,0.0,0.0,0.0,5.396,3250.0,278.9,58.2,1498.0,11.226,6.606,58.25,58.0,6.4,71.1,0.7052,0.0,6.4,29.4,30.0,31.9,54.2,0.254,895.0,1.0,1.0,1.0,2024.0,9.0,4.0,15.0
77.7,48.52,10.8,0.0,0.0,0.0,5.792,2790.0,252.0,51.3,1337.0,11.2375,6.739,181.15,88.2,42.5,240.73,1.3301,0.0,6.22,25.9,29.6,31.5,47.9,0.216,880.0,0.0,2.0,2.0,2024.0,9.0,4.0,9.0
70.6,45.3,11.5,0.0,0.0,0.0,5.720000000000001,3670.0,308.4,71.0,1948.0,10.388000000000002,6.409999999999999,94.9,96.2,16.3,129.499,0.9245,0.0,6.44,15.6,30.8,31.3,49.1,0.256,860.0,1.0,0.0,1.0,2024.0,9.0,4.0,13.0
81.5,50.48,14.7,0.0,0.0,0.0,5.812,3480.0,305.0,42.7,1680.0,11.740000000000002,6.816,54.3,75.18333333333335,7.9,63.85,0.3894,0.0,6.34,19.6,30.0,30.5,50.6,0.34,480.0,2.0,0.0,1.0,2024.0,9.0,4.0,22.0
108.7,50.760000000000005,9.2,0.0,0.0,0.0,5.7620000000000005,2905.0,585.0,35.15,1639.0,10.375,6.539,11.1,136.7,12.6,82.45,0.6602,0.0,6.29,28.3,30.0,31.4,53.2,0.273,900.0,1.0,0.0,0.0,2024.0,9.0,4.0,10.0
76.3,52.17,14.8,0.0,0.0,0.0,5.844,2910.0,511.65,41.6,1201.9,11.682999999999998,6.722,39.85,83.6,5.4,158.1,0.5755000000000001,0.0,6.35,27.0,29.6,31.0,53.2,0.234,886.0,0.0,0.0,0.0,2024.0,9.0,4.0,28.0
127.0,50.50000000000001,18.3,0.0,0.0,0.0,5.7065,3140.0,327.7,44.6,704.8,9.851,6.6930000000000005,14.4,63.0,3.4,36.5,0.1896,0.0,6.33,26.0,30.4,30.5,53.9,0.196,374.0,1.0,2.0,0.0,2024.0,9.0,4.0,12.0
68.7,46.06000000000001,15.3,0.0,0.0,0.0,5.5920000000000005,3705.0,516.0,72.4,1150.4,12.572500000000002,7.169999999999999,66.6,76.95,23.2,89.5,0.4955,0.0,6.4,30.6,30.8,30.9,47.7,0.332,853.0,2.0,2.0,1.0,2024.0,9.0,4.0,26.0
105.4,47.900000000000006,5.8,0.0,0.0,0.0,5.8475,3390.0,153.65,42.65,2081.0,9.461,6.875,48.333,119.45,10.35,107.9,0.4476000000000001,0.0,6.28,30.5,29.6,31.6,50.4,0.277,671.0,1.0,1.0,2.0,2024.0,9.0,4.0,16.0
136.2,52.83,13.8,0.0,0.0,0.0,5.579999999999999,3380.0,148.3,36.6,1748.7,10.395000000000003,6.845999999999999,30.8,33.5,5.5,71.8,0.2549,0.0,6.31,20.4,30.0,31.2,48.4,0.534,886.0,0.0,0.0,0.0,2024.0,9.0,4.0,1.0
82.85,50.4,5.9,0.0,0.0,0.0,5.8100000000000005,3580.0,106.4,47.2,1984.0,10.7175,6.504,74.65,77.2,6.6,112.7,0.7404,0.0,6.52,23.8,29.2,31.0,52.4,0.567,731.0,1.0,0.0,2.0,2024.0,9.0,4.0,14.0
81.0,47.81999999999999,7.6,0.0,0.0,0.0,5.619999999999999,3510.0,214.8,51.95,1877.0,11.228,6.5,36.4,67.3,16.5,96.5,0.5341,0.0,6.26,23.4,29.2,30.8,53.5,0.544,667.0,0.0,1.0,2.0,2024.0,9.0,4.0,7.0
95.9,45.42,9.0,0.0,0.0,0.0,5.718,3125.0,185.95,34.85,1164.0,9.3945,6.520999999999999,19.4,54.15,4.5,59.25,0.3016999999999999,0.0,6.28,23.2,29.6,30.1,56.7,0.301,843.0,0.0,2.0,0.0,2024.0,9.0,4.0,3.0
84.75,49.14,5.8,0.0,0.0,0.0,5.941000000000001,3440.0,329.5,42.1,2383.0,10.677,6.185,37.75,74.3,5.3,376.5,0.5362,0.0,6.2,37.2,30.0,30.4,54.6,0.215,287.0,2.0,0.0,2.0,2024.0,9.0,4.0,23.0
102.0,51.8,12.0,0.0,0.0,0.0,5.574,3215.0,147.2,50.1,1351.0,10.104500000000002,6.315,79.6,107.55,20.05,109.4,1.0418,0.0,6.34,21.4,29.2,30.6,53.2,0.327,467.0,2.0,2.0,0.0,2024.0,9.0,4.0,21.0
114.55,52.65000000000001,13.2,0.0,0.0,0.0,5.61,3525.0,199.2,62.2,1465.0,11.528,6.590000000000001,66.55,59.45,8.1,57.95,0.5168,0.0,6.27,24.4,29.6,31.4,54.6,0.531,886.0,0.0,0.0,2.0,2024.0,9.0,4.0,5.0
76.85,48.14,5.3,0.0,0.0,0.0,5.88,3380.0,216.5,42.7,1830.0,11.001,6.5920000000000005,67.95,101.7,13.5,160.4,0.7508999999999999,0.0,6.17,27.1,30.0,31.6,51.9,0.23,410.0,2.0,2.0,2.0,2024.0,9.0,4.0,30.0
51.65,55.790000000000006,11.3,0.0,0.0,0.0,5.7325,3260.0,229.6,34.6,1690.0,10.001,6.688000000000001,38.2,53.1,14.1,230.9,0.6677,0.0,6.37,20.2,28.0,29.3,56.6,0.554,365.0,2.0,1.0,0.0,2024.0,9.0,4.0,20.0
125.7,58.07000000000001,9.2,0.0,0.0,0.0,5.720000000000001,3470.0,208.6,44.6,831.0,10.1255,6.554,20.05,16.3,2.9,36.8,0.1883999999999999,0.0,6.42,33.5,28.0,29.1,58.5,0.331,310.0,1.0,2.0,2.0,2024.0,9.0,4.0,18.0
151.1,53.21,16.6,0.0,0.0,0.0,5.64,3720.0,171.6,58.7,845.6,11.486,6.909999999999999,12.3,23.4,2.8,22.65,0.1086,0.0,6.29,32.4,28.8,29.2,62.7,0.193,651.0,1.0,1.0,1.0,2024.0,9.0,4.0,29.0
155.8,52.34000000000001,8.5,0.0,0.0,0.0,5.66,3220.0,185.2,39.4,1472.0,8.9705,6.219,30.5,49.0,5.5,127.1,0.3963,0.0,6.42,30.5,29.6,29.8,54.0,0.396,828.0,2.0,1.0,2.0,2024.0,9.0,4.0,25.0
88.65,47.97,6.6,0.0,0.0,0.0,5.779000000000001,3105.0,176.0,39.95,695.0,10.547,6.691,14.75,32.15,2.6,41.9,0.1719,0.0,6.35,34.7,29.9,29.5,56.9,0.254,803.0,2.0,0.0,0.0,2024.0,9.0,4.0,19.0
126.0,54.52,22.8,0.0,0.0,0.0,5.479000000000001,3100.0,246.9666666666667,44.3,1777.0,8.977,6.510000000000001,4.4,32.7,1.6,29.4,0.1016999999999999,0.0,6.38,33.0,28.8,29.0,58.2,0.224,732.0,0.0,1.0,0.0,2024.0,9.0,4.0,2.0
86.05,48.52000000000001,9.0,0.0,0.0,0.0,5.754,3555.0,184.1,39.9,2460.0,11.216499999999998,6.21,285.3999999999951,88.05,11.25,250.5,0.8613,0.0,6.44,16.3,28.0,29.0,60.7,0.565,903.0,0.0,1.0,1.0,2024.0,9.0,4.0,6.0
111.2,50.82,9.1,0.0,0.0,0.0,5.583500000000001,3310.0,111.5,38.4,2052.0,9.7185,6.8870000000000005,285.3999999999951,89.1,17.1,144.4,0.8178000000000001,0.0,6.39,32.7,28.0,29.4,57.2,0.183,695.0,1.0,2.0,1.0,2024.0,9.0,4.0,17.0
161.1,50.15999999999999,15.7,0.0,0.0,0.0,5.6925,3140.0,201.0,43.2,1529.4,10.53,6.7700000000000005,33.55,64.45,4.4,61.55,0.3854,0.0,6.32,32.7,27.6,28.7,65.1,0.198,382.0,1.0,1.0,0.0,2024.0,9.0,4.0,11.0
71.1,43.55,8.1,0.0,0.0,0.0,5.742,3490.0,551.0,44.0,2048.0,12.4055,6.502,44.0,83.8,8.8,130.65,1.9676999999999976,0.0,6.33,31.3,27.2,27.7,62.7,0.268,841.0,0.0,2.0,1.0,2024.0,9.0,4.0,8.0
120.0,51.3,3.0,0.0,0.0,0.0,5.7,3800.0,160.0,52.0,1900.0,11.67,7.2,370.0,64.0,61.0,500.0,2.18,0.0,6.33,33.0,26.8,27.3,63.3,0.277,282.0,0.0,2.0,2.0,2024.0,9.0,4.0,9.0
118.0,50.8,7.0,0.0,0.0,0.0,5.2,3500.0,160.0,42.0,2100.0,10.95,6.4,20.0,49.0,3.0,78.0,0.311,0.0,6.24,31.3,27.2,27.5,58.3,0.312,284.0,1.0,0.0,1.0,2024.0,9.0,4.0,13.0
125.0,49.3,8.0,0.0,0.0,0.0,5.8,3800.0,280.0,49.0,1600.0,12.93,6.8,65.0,40.0,14.0,98.0,0.505,0.0,6.49,19.2,27.2,27.8,59.0,0.382,282.0,2.0,2.0,1.0,2024.0,9.0,4.0,26.0
123.0,49.6,5.0,0.0,0.0,0.0,5.8,3200.0,67.0,35.0,2600.0,8.66,6.2,110.0,140.0,15.0,190.0,1.184,0.0,6.43,22.8,26.4,27.1,61.6,0.313,844.0,1.0,1.0,2.0,2024.0,9.0,4.0,16.0
112.0,48.9,4.0,0.0,0.0,0.0,5.7,3200.0,110.0,35.0,2600.0,9.95,6.7,17.0,110.0,7.0,130.0,0.539,0.0,6.67,25.5,26.4,27.3,62.9,0.234,823.0,1.0,0.0,0.0,2024.0,9.0,4.0,10.0
122.0,52.4,8.0,0.0,0.0,0.0,5.7,3500.0,360.0,43.0,2300.0,12.4,6.3,26.0,28.0,2.0,65.0,0.35,0.0,6.43,22.0,27.6,28.2,60.3,0.212,548.0,2.0,0.0,1.0,2024.0,9.0,4.0,22.0
114.0,49.8,6.0,0.0,0.0,0.0,5.7,3100.0,61.0,35.0,1700.0,9.46,6.4,12.0,55.0,4.0,46.0,0.231,0.0,6.33,29.1,26.4,27.7,58.7,0.32,690.0,1.0,2.0,0.0,2024.0,9.0,4.0,12.0
116.0,53.1,6.0,0.0,0.0,0.0,5.7,3300.0,110.0,32.0,2100.0,9.05,6.8,11.0,26.0,3.0,23.0,0.149,0.0,6.35,29.0,27.2,27.8,60.0,0.537,345.0,0.0,0.0,0.0,2024.0,9.0,4.0,28.0
134.0,50.9,8.0,0.0,0.0,0.0,5.7,3300.0,66.0,32.0,1900.0,10.21,6.9,13.0,22.0,2.0,44.0,0.142,0.0,6.49,31.7,27.2,28.1,61.9,0.531,796.0,0.0,0.0,0.0,2024.0,9.0,4.0,1.0
115.0,51.4,2.0,0.0,0.0,0.0,5.7,3200.0,170.0,36.0,2400.0,11.2,6.4,14.0,13.0,2.0,36.0,0.12,0.0,6.41,28.3,27.6,28.0,57.8,0.373,362.0,1.0,0.0,2.0,2024.0,9.0,4.0,14.0
113.0,52.3,4.0,0.0,0.0,0.0,5.7,3300.0,84.0,37.0,2100.0,9.67,6.5,33.0,96.0,6.0,100.0,0.508,0.0,6.5,28.5,27.6,28.4,59.1,0.322,408.0,0.0,0.0,2.0,2024.0,9.0,4.0,5.0
132.0,51.1,7.0,0.0,0.0,0.0,5.7,3300.0,140.0,36.0,1100.0,10.29,6.9,19.0,31.0,3.0,46.0,0.255,0.0,6.41,28.0,26.8,27.9,61.7,0.338,796.0,2.0,2.0,2.0,2024.0,9.0,4.0,30.0
117.0,49.8,4.0,0.0,0.0,0.0,5.7,3200.0,140.0,36.0,1500.0,10.01,6.3,5.0,15.0,2.0,22.0,0.094,0.0,6.39,33.7,26.8,27.8,61.2,0.252,269.0,0.0,2.0,0.0,2024.0,9.0,4.0,3.0
90.0,52.4,1.0,0.0,0.0,0.0,5.6,3900.0,130.0,53.0,2700.0,11.47,6.7,23.0,21.0,4.0,48.0,0.152,0.0,6.33,26.8,26.0,27.3,66.6,0.304,691.0,0.0,1.0,2.0,2024.0,9.0,4.0,7.0
122.0,45.8,5.0,0.0,0.0,0.0,5.6,2900.0,120.0,39.0,2200.0,9.37,6.6,29.0,58.0,5.0,83.0,0.484,0.0,6.44,28.9,25.6,26.6,63.3,0.23,739.0,2.0,2.0,0.0,2024.0,9.0,4.0,21.0
104.0,52.3,0.0,0.0,0.0,0.0,5.6,3500.0,120.0,45.0,2200.0,10.34,6.6,38.0,57.0,8.0,120.0,0.454,0.0,6.66,24.4,25.6,26.0,64.9,0.566,787.0,2.0,0.0,2.0,2024.0,9.0,4.0,23.0
105.0,58.1,7.0,0.0,0.0,0.0,5.6,2900.0,270.0,31.0,1700.0,9.05,6.9,73.0,49.0,18.0,140.0,0.595,0.0,6.26,28.9,25.2,25.7,66.8,0.535,407.0,2.0,1.0,0.0,2024.0,9.0,4.0,20.0
113.0,54.2,7.0,0.0,0.0,0.0,5.8,2900.0,190.0,39.0,2300.0,1.97,6.5,40.0,82.0,6.0,220.0,0.675,0.0,6.42,16.6,24.8,25.4,67.6,0.72,522.0,1.0,2.0,2.0,2024.0,9.0,4.0,18.0
117.0,53.9,5.0,0.0,0.0,0.0,5.7,3500.0,240.0,36.0,2100.0,11.03,6.0,21.0,34.0,3.0,66.0,0.244,0.0,6.49,24.5,24.8,25.3,65.8,0.715,287.0,0.0,1.0,1.0,2024.0,9.0,4.0,6.0
124.0,52.6,3.0,0.0,0.0,0.0,5.6,3500.0,100.0,39.0,2300.0,9.54,6.3,58.0,57.0,4.0,180.0,0.516,0.0,6.48,25.0,25.2,25.6,66.0,1.032,247.0,1.0,2.0,1.0,2024.0,9.0,4.0,17.0
119.0,54.5,6.0,0.0,0.0,0.0,5.6,3100.0,180.0,32.0,1500.0,8.96,5.9,24.0,43.0,3.0,82.0,0.379,0.0,6.38,26.9,25.2,26.0,62.7,0.54,245.0,2.0,1.0,2.0,2024.0,9.0,4.0,25.0
127.0,55.4,8.0,0.0,0.0,0.0,5.6,3200.0,81.0,34.0,2600.0,9.45,6.5,93.0,66.0,7.0,290.0,0.84,0.0,6.57,26.2,24.8,26.2,65.9,0.332,240.0,1.0,1.0,1.0,2024.0,9.0,4.0,29.0
120.0,54.1,6.0,0.0,0.0,0.0,5.7,3000.0,110.0,36.0,2200.0,8.89,6.9,17.0,58.0,5.0,65.0,0.305,0.0,6.76,30.7,24.8,26.2,65.2,0.205,336.0,0.0,1.0,0.0,2024.0,9.0,4.0,2.0
119.0,54.1,8.0,0.0,0.0,0.0,5.7,3300.0,76.0,34.0,2400.0,9.37,7.0,26.0,83.0,6.0,100.0,0.453,0.0,6.61,29.4,24.8,26.2,65.7,0.529,383.0,2.0,0.0,0.0,2024.0,9.0,4.0,19.0
109.0,51.5,4.0,0.0,0.0,0.0,5.6,3600.0,250.0,46.0,2100.0,10.93,6.4,39.0,66.0,10.0,210.0,0.54,0.0,6.41,24.3,24.4,26.0,63.3,0.548,382.0,0.0,2.0,1.0,2024.0,9.0,4.0,8.0
110.0,48.8,3.0,0.0,0.0,0.0,5.6,3100.0,180.0,39.0,1800.0,9.65,6.8,13.0,56.0,5.0,62.0,0.219,0.0,6.24,31.1,23.6,25.4,65.5,0.152,731.0,1.0,1.0,1.0,2024.0,9.0,4.0,15.0
118.0,51.1,7.0,0.0,0.0,0.0,5.6,3300.0,310.0,37.0,2400.0,11.37,6.5,59.0,100.0,11.0,210.0,0.741,0.0,6.32,29.4,23.6,24.8,72.4,0.582,687.0,2.0,1.0,1.0,2024.0,9.0,4.0,24.0
109.0,46.7,4.0,0.0,0.0,0.0,5.7,3500.0,330.0,41.0,2200.0,10.81,6.5,18.0,38.0,3.0,46.0,0.244,0.0,6.53,34.5,23.6,24.1,72.1,0.348,634.0,1.0,1.0,0.0,2024.0,9.0,4.0,11.0
113.0,55.8,5.0,0.0,0.0,0.0,5.7,3100.0,330.0,39.0,2500.0,9.79,6.6,44.0,97.0,5.0,170.0,0.471,0.0,6.33,30.8,24.0,23.6,75.3,0.529,259.0,2.0,2.0,2.0,2024.0,9.0,4.0,27.0
102.0,51.4,8.0,0.0,0.0,0.0,5.8,3600.0,130.0,39.0,2000.0,10.38,6.4,69.0,70.0,6.0,150.0,0.679,0.0,6.49,31.9,25.6,23.6,74.8,0.219,244.0,0.0,0.0,1.0,2024.0,9.0,4.0,4.0
151.0,51.4,17.0,0.0,0.0,0.0,5.6,3100.0,160.0,51.0,700.0,11.01,5.9,8.0,25.0,3.0,18.0,0.128,0.0,6.26,18.4,30.0,30.4,52.1,0.959,257.0,2.0,2.0,2.0,2024.0,9.0,11.0,27.0
135.0,54.8,13.0,0.0,0.0,0.0,5.5,3100.0,59.0,43.0,740.0,9.59,5.9,11.0,40.0,3.0,41.0,0.137,0.0,7.63,15.8,26.0,27.6,62.5,0.0,451.0,2.0,1.0,1.0,2024.0,9.0,11.0,24.0
90.0,53.9,5.0,0.0,0.0,0.0,5.5,3800.0,190.0,55.0,1400.0,12.88,6.2,16.0,49.0,6.0,70.0,0.225,0.0,7.56,21.1,27.6,27.5,58.2,0.0,488.0,0.0,0.0,1.0,2024.0,9.0,11.0,4.0
126.0,49.3,12.0,0.0,0.0,0.0,5.6,3800.0,160.0,51.0,950.0,10.7,6.6,19.0,31.0,5.0,39.0,0.15,0.0,6.55,13.8,28.4,29.3,59.1,0.0,389.0,1.0,1.0,1.0,2024.0,9.0,11.0,15.0
79.95,48.32,11.0,0.0,0.0,0.0,5.824,3600.0,200.3,60.3,1855.0,12.006,6.331999999999999,45.1,65.2,6.3,123.9,0.6374,0.0,6.55,15.1,28.4,29.9,52.7,0.0,510.0,1.0,1.0,1.0,2024.0,9.0,11.0,15.0
152.0,57.5,11.0,0.0,0.0,0.0,5.5,3200.0,310.0,47.0,1100.0,11.1,6.7,120.0,110.0,24.0,180.0,0.825,0.0,6.87,18.2,27.6,28.7,61.3,0.006,467.0,0.0,2.0,2.0,2024.0,9.0,11.0,9.0
128.0,56.4,5.0,0.0,0.0,0.0,5.4,3500.0,94.0,49.0,1800.0,11.24,6.6,18.0,38.0,10.0,19.0,0.0193,0.0,7.48,16.9,27.6,28.1,66.4,0.0,528.0,1.0,0.0,1.0,2024.0,9.0,11.0,13.0
129.0,58.1,9.0,0.0,0.0,0.0,5.5,2900.0,150.0,41.0,740.0,9.86,6.7,17.0,58.0,4.0,30.0,0.242,0.0,7.63,14.7,26.0,27.7,58.5,0.0,258.0,2.0,0.0,1.0,2024.0,9.0,11.0,22.0
153.0,56.8,8.0,0.0,0.0,0.0,5.7,2600.0,130.0,30.0,750.0,8.84,6.2,8.0,120.0,9.0,23.0,0.401,0.0,7.61,16.9,26.0,27.8,60.5,0.0,192.0,1.0,0.0,0.0,2024.0,9.0,11.0,10.0
147.0,55.8,9.0,0.0,0.0,0.0,5.7,1700.0,200.0,21.0,550.0,6.11,6.6,6.0,36.0,3.0,16.0,0.112,0.0,6.52,18.2,29.2,29.9,53.1,0.0,617.0,0.0,0.0,0.0,2024.0,9.0,11.0,28.0
150.0,56.6,12.0,0.0,0.0,0.0,5.6,2700.0,400.0,43.0,310.0,10.05,6.9,47.0,150.0,14.0,51.0,0.771,0.0,6.59,14.3,29.6,29.9,53.1,0.017,598.0,1.0,2.0,0.0,2024.0,9.0,11.0,12.0
35.0,54.5,9.0,0.0,0.0,0.0,5.6,3700.0,130.0,52.0,2000.0,12.46,6.6,22.0,130.0,5.0,31.0,0.558,0.0,6.42,15.9,28.0,29.6,55.1,0.006,569.0,2.0,2.0,1.0,2024.0,9.0,11.0,26.0
129.0,57.8,5.0,0.0,0.0,0.0,5.6,2900.0,170.0,43.0,1300.0,10.44,7.1,33.0,42.0,4.0,34.0,0.288,0.0,6.5,14.5,28.0,29.6,54.4,0.0,422.0,1.0,1.0,2.0,2024.0,9.0,11.0,16.0
147.0,59.6,5.0,0.0,0.0,0.0,5.6,3200.0,99.0,43.0,1500.0,10.31,6.5,29.0,40.0,7.0,48.0,0.324,0.0,7.62,17.0,28.4,29.7,55.8,0.0,455.0,0.0,0.0,0.0,2024.0,9.0,11.0,1.0
143.0,57.4,11.0,0.0,0.0,0.0,5.6,3600.0,87.0,52.0,950.0,10.44,6.8,120.0,146.0,19.0,200.0,0.97,0.0,6.45,19.7,29.6,29.6,55.6,0.007,579.0,1.0,0.0,2.0,2024.0,9.0,11.0,14.0
74.75,48.14999999999999,8.8,0.0,0.0,0.0,5.5985,3540.0,205.4,52.35,1230.0,11.763,6.659000000000001,39.5,138.8,6.8,100.5,0.3726,0.0,6.28,21.6,28.4,29.1,52.8,0.026,152.0,0.0,1.0,2.0,2024.0,9.0,11.0,7.0
150.0,53.3,14.0,0.0,0.0,0.0,5.4,3500.0,310.0,53.0,620.0,11.61,6.0,270.0,210.0,29.0,440.0,2.2,0.0,6.59,14.1,30.0,29.8,55.0,0.006,656.0,0.0,1.0,2.0,2024.0,9.0,11.0,7.0
127.0,49.5,8.0,0.0,0.0,0.0,5.6,2800.0,110.0,34.0,1000.0,10.22,5.5,10.0,52.0,5.0,20.0,0.243,0.0,6.54,19.3,29.2,29.8,52.9,0.0,500.0,0.0,2.0,0.0,2024.0,9.0,11.0,3.0
145.0,54.7,13.0,0.0,0.0,0.0,5.7,2600.0,200.0,38.0,1000.0,9.31,5.8,27.0,68.0,5.0,28.0,0.381,0.0,7.62,20.4,28.8,29.9,50.4,0.038,522.0,2.0,0.0,2.0,2024.0,9.0,11.0,23.0
147.0,56.0,10.0,0.0,0.0,0.0,5.5,3200.0,160.0,45.0,790.0,10.29,5.4,26.0,130.0,5.0,42.0,0.592,0.0,7.63,16.8,28.4,30.0,51.4,0.007,560.0,2.0,2.0,0.0,2024.0,9.0,11.0,21.0
111.7,52.220000000000006,12.4,0.0,0.0,0.0,5.64,3220.0,154.3,44.8,871.0,10.017,5.71,36.95,89.35,4.8,46.3,0.5037999999999999,0.0,7.71,18.5,28.4,30.5,54.8,0.033,554.0,2.0,2.0,0.0,2024.0,9.0,11.0,21.0
147.0,56.8,10.0,0.0,0.0,0.0,5.6,3000.0,87.0,36.0,1400.0,10.02,5.9,13.0,84.0,15.0,30.0,0.378,0.0,7.64,14.8,28.8,29.7,58.9,0.043,766.0,0.0,0.0,2.0,2024.0,9.0,11.0,5.0
113.8,50.83,10.1,0.0,0.0,0.0,5.711999999999999,3275.0,177.5,40.8,1132.0,10.951000000000002,6.480000000000001,36.65,61.9,7.9,69.05,0.3313,0.0,6.34,17.3,29.6,31.6,52.8,0.0,257.0,0.0,0.0,2.0,2024.0,9.0,11.0,5.0
132.0,56.1,4.0,0.0,0.0,0.0,5.5,3500.0,97.0,49.0,1300.0,10.93,5.7,20.0,41.0,6.0,34.0,0.258,0.0,7.62,21.2,29.2,31.4,53.2,0.0,495.0,2.0,2.0,2.0,2024.0,9.0,11.0,30.0
157.0,52.6,13.0,0.0,0.0,0.0,5.4,3300.0,79.0,39.0,1500.0,10.14,6.5,23.0,28.0,8.0,3.0,0.212,0.0,7.53,23.3,29.2,30.6,54.9,0.006,615.0,2.0,1.0,0.0,2024.0,9.0,11.0,20.0
145.0,58.1,6.0,0.0,0.0,0.0,5.6,3500.0,160.0,52.0,1600.0,11.16,6.5,13.0,29.0,4.0,20.0,0.168,0.0,6.24,24.2,29.6,30.1,55.5,0.0,769.0,1.0,2.0,2.0,2024.0,9.0,11.0,18.0
156.0,55.1,17.0,0.0,0.0,0.0,5.5,3900.0,240.0,71.0,1800.0,13.43,6.3,4.0,22.0,4.0,14.0,0.106,0.0,7.62,22.0,28.0,30.0,56.8,0.006,561.0,1.0,1.0,1.0,2024.0,9.0,11.0,29.0
119.0,58.3,10.0,0.0,0.0,0.0,5.5,3300.0,190.0,49.0,1100.0,11.31,6.2,26.0,160.0,7.0,49.0,0.721,0.0,6.46,19.5,29.2,29.8,54.1,0.0,387.0,2.0,1.0,2.0,2024.0,9.0,11.0,25.0
127.0,56.4,14.0,0.0,0.0,0.0,5.5,2900.0,77.0,35.0,1600.0,9.4,6.3,15.0,100.0,4.0,39.0,0.405,0.0,6.39,22.7,27.6,28.7,55.4,0.02,864.0,2.0,0.0,0.0,2024.0,9.0,11.0,19.0
139.0,60.7,15.0,0.0,0.0,0.0,5.3,2600.0,59.0,30.0,1000.0,8.66,6.4,4.0,30.0,3.0,18.0,0.115,0.0,6.77,24.3,28.8,29.8,49.6,0.011,159.0,0.0,1.0,0.0,2024.0,9.0,11.0,2.0
139.0,59.1,7.0,0.0,0.0,0.0,5.4,2900.0,66.0,35.0,1500.0,9.94,6.4,13.0,25.0,4.0,26.0,0.163,0.0,7.45,21.6,29.2,30.7,50.9,0.0,176.0,0.0,1.0,1.0,2024.0,9.0,11.0,6.0
141.0,57.6,14.0,0.0,0.0,0.0,5.3,3300.0,27.0,36.0,1200.0,10.25,6.4,120.0,180.0,23.0,260.0,1.092,0.0,6.23,17.4,29.6,31.4,49.5,0.0,261.0,1.0,2.0,1.0,2024.0,9.0,11.0,17.0
149.0,53.2,9.0,0.0,0.0,0.0,5.5,2900.0,200.0,37.0,880.0,9.62,6.3,16.0,54.0,7.0,41.0,0.288,0.0,6.37,34.53,25.59,27.61,63.38000000000001,0.0972,579.5,1.0,1.0,0.0,2024.0,9.0,11.0,11.0
145.0,50.3,10.0,0.0,0.0,0.0,5.4,3200.0,90.0,35.0,610.0,9.88,6.8,9.0,34.0,5.0,30.0,0.152,0.0,6.82,19.6,29.2,30.4,52.9,0.0,154.0,0.0,2.0,1.0,2024.0,9.0,11.0,8.0
157.8,55.79,9.5,0.0,0.0,0.0,5.5725,3665.0,201.0,45.1,1753.0,10.5595,6.95,18.6,30.1,6.267,34.9,0.1552,0.0,6.49,20.2,28.0,29.5,53.8,0.0,176.0,0.0,2.0,2.0,2024.0,9.0,11.0,9.0
62.6,57.15,9.4,0.0,0.0,0.0,5.505,3770.0,298.7,57.75,1818.0,11.1995,6.279999999999999,83.9,111.7,17.0,94.299,0.8757999999999999,0.0,6.38,20.5,27.6,28.9,53.6,0.008,165.0,1.0,0.0,1.0,2024.0,9.0,11.0,13.0
65.6,45.45,12.7,0.0,0.0,0.0,5.572,3665.0,266.3,53.1,1335.2,12.286,7.130000000000001,60.4,52.2,23.7,93.0,0.4276,0.0,6.33,23.4,28.4,28.8,53.0,0.011,746.0,2.0,2.0,1.0,2024.0,9.0,11.0,26.0
98.0,48.39000000000001,5.8,0.0,0.0,0.0,5.839,3300.0,152.0,40.5,1848.9,10.145,6.902000000000001,18.8,32.0,5.55,33.5,0.1897,0.0,6.44,22.6,28.4,29.6,55.3,0.006,895.0,1.0,1.0,2.0,2024.0,9.0,11.0,16.0
121.5,50.81,11.0,0.0,0.0,0.0,5.672000000000001,2935.0,375.0,39.9,1700.0,10.213,6.266,9.1,127.4,12.2,73.25,0.552,0.0,7.54,22.3,28.8,29.7,53.8,0.008,283.0,1.0,0.0,0.0,2024.0,9.0,11.0,10.0
