weight_3_Nitrogen_RF,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_XGB
Soil NO3 Horiba (ppm),Sap Na (ppm),Sap Na (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Na (ppm),Sap Conductivity (mS/cm)
Sap Conductivity (mS/cm),Chlorophyll (SPAD),Chlorophyll (SPAD),Air_sensor_Temperature(C),Sap Na (ppm)
Sap NO3 (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD)
Sap Ca (ppm),Soil NO3 Horiba (ppm),Sap NO3 (ppm),Sap Ca (ppm),Sap Ca (ppm)
Sap Na (ppm),7in1_S_Temperature(C),Soil pH Horiba,Soil Conductivity Horiba (mS/cm),Sap K (ppm)
Sap K (ppm),Air_sensor_Temperature(C),7in1_Moisture(%RH),Sap NO3 (ppm),Soil K Horiba (ppm)
Soil K Horiba (ppm),7in1_Moisture(%RH),Air_sensor_Temperature(C),7in1_S_Temperature(C),Soil Na Horiba (ppm)
Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm),7in1_S_Temperature(C),Sap K (ppm),Soil Conductivity Horiba (mS/cm)
Soil Na Horiba (ppm),Sap K (ppm),Pynamometer_Radiation(W/m2),Chlorophyll (SPAD),Sap NO3 (ppm)
Air_sensor_Temperature(C),Soil pH Horiba,Soil Ca Horiba (ppm),Sap pH,Pynamometer_Radiation(W/m2)
Soil Conductivity Horiba (mS/cm),Sap pH,Sap K (ppm),7in1_Conductivity(mS/cm),Soil Ca Horiba (ppm)
7in1_S_Temperature(C),Sap NO3 (ppm),Air_sensor_Humidity(%RH),Soil K Horiba (ppm),7in1_Moisture(%RH)
