weight_3_Potassium_RF,weight_3_Potassium_SVM,weight_3_Potassium_KNN,weight_3_Potassium_MLP,weight_3_Potassium_XGB
Sap K (ppm),Sap K (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap K (ppm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Ca (ppm)
Soil K Horiba (ppm),Soil pH Horiba,Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm)
Sap Ca (ppm),Sap Na (ppm),Sap Ca (ppm),Soil pH Horiba,Sap Na (ppm)
Sap Na (ppm),Sap Ca (ppm),Soil pH Horiba,Sap Na (ppm),Soil pH Horiba
Soil pH Horiba,Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Soil K Horiba (ppm)
Chlorophyll (SPAD),7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm),Chlorophyll (SPAD)
Sap NO3 (ppm),Air_sensor_Temperature(C),Sap NO3 (ppm),7in1_S_Temperature(C),Sap NO3 (ppm)
Air_sensor_Humidity(%RH),Soil Na Horiba (ppm),7in1_Moisture(%RH),Soil Ca Horiba (ppm),Soil Na Horiba (ppm)
Air_sensor_Temperature(C),Sap NO3 (ppm),Pynamometer_Radiation(W/m2),Sap NO3 (ppm),7in1_Ph(pH)
7in1_Ph(pH),7in1_Moisture(%RH),7in1_S_Temperature(C),Air_sensor_Temperature(C),Soil NO3 Horiba (ppm)
Pynamometer_Radiation(W/m2),Soil Ca Horiba (ppm),Air_sensor_Temperature(C),Sap pH,Sap pH
7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Sap pH,Soil K Horiba (ppm),Soil Conductivity Horiba (mS/cm)
