weight_3_Phosphorus_RF,weight_3_Phosphorus_SVM,weight_3_Phosphorus_KNN,weight_3_Phosphorus_MLP,weight_3_Phosphorus_XGB
Air_sensor_Temperature(C),Soil Ca Horiba (ppm),Sap Na (ppm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm)
Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap Ca (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm)
Soil Conductivity Horiba (mS/cm),Soil Na Horiba (ppm),Chlorophyll (SPAD),Sap Na (ppm),Sap NO3 (ppm)
7in1_S_Temperature(C),Sap Ca (ppm),Soil pH Horiba,7in1_S_Temperature(C),Soil Na Horiba (ppm)
Air_sensor_Humidity(%RH),7in1_S_Temperature(C),Sap NO3 (ppm),Sap pH,Soil K Horiba (ppm)
Soil K Horiba (ppm),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm),Sap Na (ppm)
Sap NO3 (ppm),Sap Na (ppm),7in1_Moisture(%RH),Sap Ca (ppm),Chlorophyll (SPAD)
Soil pH Horiba,Soil pH Horiba,Soil Ca Horiba (ppm),Chlorophyll (SPAD),Sap Ca (ppm)
Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm)
Soil Na Horiba (ppm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Soil pH Horiba,Soil NO3 Horiba (ppm)
Sap Ca (ppm),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Air_sensor_Temperature(C)
Sap Na (ppm),Sap K (ppm),Pynamometer_Radiation(W/m2),Sap Conductivity (mS/cm),Soil pH Horiba
Soil NO3 Horiba (ppm),Sap pH,Sap K (ppm),Soil K Horiba (ppm),Sap pH
Sap pH,,,,
