weight_3_Potassium_RF,weight_3_Potassium_SVM,weight_3_Potassium_KNN,weight_3_Potassium_MLP,weight_3_Potassium_XGB
Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap Conductivity (mS/cm),Soil pH Horiba,Soil pH Horiba,Chlorophyll (SPAD),Sap Ca (ppm)
Sap Ca (ppm),Sap K (ppm),Pynamometer_Radiation(W/m2),Soil pH Horiba,Sap K (ppm)
Soil K Horiba (ppm),Chlorophyll (SPAD),Sap K (ppm),Sap K (ppm),Soil K Horiba (ppm)
Soil pH Horiba,Sap Ca (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Chlorophyll (SPAD)
Sap Na (ppm),Soil Ca Horiba (ppm),7in1_Moisture(%RH),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm)
Air_sensor_Humidity(%RH),Pynamometer_Radiation(W/m2),Sap Ca (ppm),7in1_S_Temperature(C),Sap Na (ppm)
Chlorophyll (SPAD),Air_sensor_Temperature(C),Sap Na (ppm),Soil NO3 Horiba (ppm),Soil pH Horiba
Sap NO3 (ppm),Soil Na Horiba (ppm),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm),Soil Conductivity Horiba (mS/cm)
Air_sensor_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap pH,Soil Ca Horiba (ppm)
Pynamometer_Radiation(W/m2),Air_sensor_Humidity(%RH),Sap NO3 (ppm),Sap NO3 (ppm),Soil NO3 Horiba (ppm)
Soil NO3 Horiba (ppm),Sap NO3 (ppm),Air_sensor_Temperature(C),Soil Ca Horiba (ppm),Air_sensor_Humidity(%RH)
Soil Na Horiba (ppm),Sap Na (ppm),7in1_Ph(pH),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2)
