weight_3_Nitrogen_RF,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_XGB
Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),7in1_S_Temperature(C),Soil NO3 Horiba (ppm)
Sap Conductivity (mS/cm),Sap Na (ppm),Soil pH Horiba,Soil NO3 Horiba (ppm),Chlorophyll (SPAD)
Soil NO3 Horiba (ppm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm)
Sap Na (ppm),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm)
Sap Ca (ppm),Soil NO3 Horiba (ppm),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Sap K (ppm)
Sap K (ppm),Air_sensor_Temperature(C),7in1_Moisture(%RH),Sap NO3 (ppm),Sap Ca (ppm)
Sap NO3 (ppm),Air_sensor_Humidity(%RH),Sap Ca (ppm),Soil Ca Horiba (ppm),Soil K Horiba (ppm)
Soil K Horiba (ppm),Sap Ca (ppm),Sap NO3 (ppm),Sap Ca (ppm),Sap NO3 (ppm)
Air_sensor_Temperature(C),Soil Ca Horiba (ppm),Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C),Soil pH Horiba
7in1_Ph(pH),Soil pH Horiba,Air_sensor_Temperature(C),Sap K (ppm),Soil Ca Horiba (ppm)
Soil Na Horiba (ppm),7in1_Moisture(%RH),Sap K (ppm),Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C)
Soil Ca Horiba (ppm),Sap NO3 (ppm),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),7in1_Conductivity(mS/cm)
7in1_S_Temperature(C),Sap K (ppm),7in1_Ph(pH),7in1_Moisture(%RH),Soil Conductivity Horiba (mS/cm)
Sap pH,7in1_Ph(pH),,7in1_Conductivity(mS/cm),7in1_S_Temperature(C)
