weight_3_Phosphorus_RF,weight_3_Phosphorus_SVM,weight_3_Phosphorus_KNN,weight_3_Phosphorus_MLP,weight_3_Phosphorus_XGB
Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm)
Air_sensor_Temperature(C),Sap NO3 (ppm),Sap Ca (ppm),Soil Na Horiba (ppm),Soil Ca Horiba (ppm)
Soil Conductivity Horiba (mS/cm),Air_sensor_Humidity(%RH),Soil pH Horiba,Sap NO3 (ppm),Sap Ca (ppm)
7in1_S_Temperature(C),Sap Ca (ppm),Air_sensor_Humidity(%RH),7in1_S_Temperature(C),Soil K Horiba (ppm)
Air_sensor_Humidity(%RH),Soil Na Horiba (ppm),Sap K (ppm),Sap Ca (ppm),Soil Conductivity Horiba (mS/cm)
Soil K Horiba (ppm),Soil pH Horiba,7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm)
Soil pH Horiba,Soil NO3 Horiba (ppm),Pynamometer_Radiation(W/m2),Sap pH,Soil pH Horiba
Sap NO3 (ppm),Sap K (ppm),7in1_Moisture(%RH),Sap K (ppm),Soil NO3 Horiba (ppm)
Sap Ca (ppm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Na (ppm),Air_sensor_Humidity(%RH)
Sap pH,Sap pH,Soil Ca Horiba (ppm),Soil K Horiba (ppm),Sap K (ppm)
Sap Conductivity (mS/cm),Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C),Soil Conductivity Horiba (mS/cm),Sap Na (ppm)
Soil NO3 Horiba (ppm),Sap Na (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Conductivity (mS/cm)
Soil Na Horiba (ppm),7in1_S_Temperature(C),Sap Na (ppm),Soil pH Horiba,7in1_S_Temperature(C)
Sap Na (ppm),,Sap pH,Sap Conductivity (mS/cm),
