weight_3_Nitrogen_RF,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_XGB
Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Ca (ppm),Soil Ca Horiba (ppm),Sap Na (ppm)
Sap Conductivity (mS/cm),Sap Na (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Soil NO3 Horiba (ppm)
Soil NO3 Horiba (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Conductivity (mS/cm)
Sap Na (ppm),Soil Ca Horiba (ppm),7in1_Moisture(%RH),Soil NO3 Horiba (ppm),Chlorophyll (SPAD)
Sap Ca (ppm),7in1_S_Temperature(C),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm)
Sap K (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap NO3 (ppm),Sap K (ppm)
Sap NO3 (ppm),Air_sensor_Temperature(C),Sap K (ppm),Chlorophyll (SPAD),Soil K Horiba (ppm)
Soil K Horiba (ppm),Soil NO3 Horiba (ppm),Soil Ca Horiba (ppm),Sap Ca (ppm),Soil Ca Horiba (ppm)
Air_sensor_Temperature(C),Sap pH,Soil pH Horiba,Sap K (ppm),Sap NO3 (ppm)
7in1_Ph(pH),Sap NO3 (ppm),7in1_S_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C)
Soil Na Horiba (ppm),Soil pH Horiba,Pynamometer_Radiation(W/m2),Sap pH,7in1_Conductivity(mS/cm)
Soil Ca Horiba (ppm),7in1_Moisture(%RH),Sap pH,7in1_Moisture(%RH),Soil Conductivity Horiba (mS/cm)
7in1_S_Temperature(C),Sap K (ppm),Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Soil Na Horiba (ppm)
Sap pH,Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Soil pH Horiba,Soil pH Horiba
