weight_3_Potassium_RF,weight_3_Potassium_SVM,weight_3_Potassium_KNN,weight_3_Potassium_MLP,weight_3_Potassium_XGB
Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm)
Soil K Horiba (ppm),Sap Ca (ppm),Pynamometer_Radiation(W/m2),Sap Ca (ppm),Sap Ca (ppm)
Sap Ca (ppm),Soil pH Horiba,Sap Na (ppm),Soil pH Horiba,Sap Na (ppm)
Sap Na (ppm),Air_sensor_Temperature(C),Sap Ca (ppm),Soil Ca Horiba (ppm),Soil K Horiba (ppm)
Soil pH Horiba,Chlorophyll (SPAD),Soil pH Horiba,Soil Na Horiba (ppm),Soil pH Horiba
Chlorophyll (SPAD),7in1_S_Temperature(C),7in1_Moisture(%RH),Sap Na (ppm),Chlorophyll (SPAD)
Sap NO3 (ppm),Sap Na (ppm),Chlorophyll (SPAD),Sap pH,Sap NO3 (ppm)
Air_sensor_Humidity(%RH),Pynamometer_Radiation(W/m2),Sap NO3 (ppm),Soil K Horiba (ppm),Air_sensor_Humidity(%RH)
Air_sensor_Temperature(C),Sap NO3 (ppm),Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Soil Conductivity Horiba (mS/cm)
7in1_Ph(pH),Air_sensor_Humidity(%RH),Sap pH,7in1_S_Temperature(C),Soil NO3 Horiba (ppm)
Pynamometer_Radiation(W/m2),Sap pH,Air_sensor_Temperature(C),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm)
7in1_S_Temperature(C),Soil Na Horiba (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),Soil Ca Horiba (ppm)
