weight_3_Potassium_RF,weight_3_Potassium_SVM,weight_3_Potassium_KNN,weight_3_Potassium_MLP,weight_3_Potassium_XGB
Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm)
Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap Ca (ppm)
Soil K Horiba (ppm),Sap Ca (ppm),Pynamometer_Radiation(W/m2),Sap Ca (ppm),Sap Conductivity (mS/cm)
Sap Ca (ppm),7in1_S_Temperature(C),Sap Ca (ppm),Sap Na (ppm),Sap Na (ppm)
Sap Na (ppm),Air_sensor_Temperature(C),Soil pH Horiba,Chlorophyll (SPAD),Soil pH Horiba
Soil pH Horiba,Chlorophyll (SPAD),Chlorophyll (SPAD),Soil pH Horiba,Soil K Horiba (ppm)
Chlorophyll (SPAD),Sap Na (ppm),Sap Na (ppm),Sap pH,Chlorophyll (SPAD)
Sap NO3 (ppm),Soil pH Horiba,Sap pH,Soil Ca Horiba (ppm),Soil NO3 Horiba (ppm)
Air_sensor_Humidity(%RH),Sap NO3 (ppm),7in1_Moisture(%RH),Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm)
Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Air_sensor_Humidity(%RH),Soil NO3 Horiba (ppm),Sap NO3 (ppm)
7in1_Ph(pH),Air_sensor_Humidity(%RH),7in1_S_Temperature(C),Soil K Horiba (ppm),7in1_Ph(pH)
Pynamometer_Radiation(W/m2),Sap pH,7in1_Ph(pH),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2)
7in1_S_Temperature(C),7in1_Ph(pH),Sap NO3 (ppm),Soil Na Horiba (ppm),Soil Ca Horiba (ppm)
