weight_3_Phosphorus_RF,weight_3_Phosphorus_SVM,weight_3_Phosphorus_KNN,weight_3_Phosphorus_MLP,weight_3_Phosphorus_XGB
Air_sensor_Temperature(C),Soil Ca Horiba (ppm),Sap Ca (ppm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm)
Soil Ca Horiba (ppm),Sap Ca (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm)
Soil Conductivity Horiba (mS/cm),Sap NO3 (ppm),Chlorophyll (SPAD),Sap pH,Soil Na Horiba (ppm)
7in1_S_Temperature(C),Soil Na Horiba (ppm),Soil pH Horiba,Soil Na Horiba (ppm),Sap NO3 (ppm)
Air_sensor_Humidity(%RH),7in1_S_Temperature(C),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Soil K Horiba (ppm)
Soil K Horiba (ppm),Air_sensor_Humidity(%RH),7in1_Moisture(%RH),Sap Ca (ppm),Sap Ca (ppm)
Sap NO3 (ppm),Soil pH Horiba,Sap Na (ppm),Sap Na (ppm),Soil NO3 Horiba (ppm)
Soil pH Horiba,Sap pH,Sap pH,Chlorophyll (SPAD),Sap Na (ppm)
Chlorophyll (SPAD),Air_sensor_Temperature(C),Air_sensor_Humidity(%RH),Soil K Horiba (ppm),Sap Conductivity (mS/cm)
Soil Na Horiba (ppm),Chlorophyll (SPAD),Soil Ca Horiba (ppm),Soil pH Horiba,Chlorophyll (SPAD)
Sap Ca (ppm),Sap Na (ppm),7in1_S_Temperature(C),Sap K (ppm),7in1_Ph(pH)
Sap Na (ppm),Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C),Sap Conductivity (mS/cm),Air_sensor_Humidity(%RH)
Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Pynamometer_Radiation(W/m2),Air_sensor_Humidity(%RH),Soil pH Horiba
Sap pH,Sap Conductivity (mS/cm),7in1_Ph(pH),,
