Fecha,Planta,Tratamiento,Altura planta (cm),Diametro tallo (mm),Clorofila (SPAD),Numero flores ,Numero frutos,Numero frutos cosechados ,Peso frutos cosechados (Kg),Perímetro (mm),Tamanno altura (mm),Frutos de 2da,pH_savia,K_savia (ppm),Ca_savia (ppm),Na_savia (ppm),NO3_savia (ppm),Conductividad_savia (mS/cm),Fosforo_savia (ppm),pH_suelo_Horiba,K_suelo_Horiba (ppm),Ca_suelo_Horiba (ppm),Na_suelo_Horiba (ppm),NO3_suelo_Horiba (ppm),Conductividad_suelo_Horiba (mS/cm),Fosforo_suelo_Hanna (ppm),Tamanno cintura (mm),7in1_Nitrogen[mg/kg],7in1_Phosphorus[mg/kg],7in1_Potasium[mg/kg],7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],7in1_Conductivity[uS/cm],Pynamometer_Radiation[W/m^2],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],RGB_capture,Tapo_capture,Parrot_capture,Tratamiento iniciado,7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],Cultivo,Laboratorio,Posicion_x,Posicion_y,x,y
2024-10-02,88,T8_N0P2K1,,,,,,1.0,0.1419,208.0,65.0,0.0,,,,,,,,,,,,,,,66.20830150241915,,,,,,,,,,,,,,,,,Tomate ,Quindío,6.4,8.4,6.4,8.4
2024-10-02,89,T8_N0P2K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,18.0,25.0,50,6.48,22.4,23.8,254.0,27.6,25.5,69.4,1.0,1.0,5.0,Si,0.254,276.0,Tomatoes,Quindio,5.9,8.4,5.9,8.4
2024-10-02,90,T8_N0P2K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,8.4,5.4,8.4
2024-10-02,91,T9_N0P2K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,4.2,8.4,4.2,8.4
2024-10-02,92,T9_N0P2K2,223.0,,60.2,19.0,24.0,0.0,0.0,0.0,0.0,0.0,5.475,3650.0,145.0,46.0,1600.0,10.255,,7.01,25.5,20.0,6.0,17.0,0.182,,0.0,17.0,24.0,48,6.26,26.0,24.6,245.0,24.4,25.6,68.3,1.0,1.0,5.0,Si,0.245,244.0,Tomatoes,Quindio,3.7,8.4,3.7,8.4
2024-10-02,93,T9_N0P2K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,3.2,8.4,3.2,8.4
2024-10-02,94,T13_N1P0K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,2.0,8.4,2.0,8.4
2024-10-02,95,T13_N1P0K1,185.0,,59.9,23.0,6.0,0.0,0.0,0.0,0.0,0.0,5.425,3150.0,540.0,67.0,535.0,10.465,7.9,7.11,46.0,40.5,8.0,28.0,0.311,0.2,0.0,21.0,30.0,59,6.15,23.2,25.0,303.0,24.5,25.6,69.3,1.0,1.0,5.0,Si,0.303,245.0,Tomatoes,Quindio,1.5,8.4,1.5,8.4
2024-10-02,96,T13_N1P0K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.0,8.4,1.0,8.4
2024-10-02,97,T26_N2P2K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.0,9.6,1.0,9.6
2024-10-02,98,T26_N2P2K1,213.0,,57.1,26.0,7.0,0.0,0.0,0.0,0.0,0.0,5.57,3750.0,220.0,49.0,1100.0,10.325,,6.96,165.0,82.5,37.5,165.0,0.951,,0.0,14.0,20.0,41,6.49,28.1,24.6,208.0,30.3,25.4,70.3,1.0,1.0,5.0,Si,0.208,303.0,Tomatoes,Quindio,1.5,9.6,1.5,9.6
2024-10-02,99,T26_N2P2K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,2.0,9.6,2.0,9.6
2024-10-02,100,T16_N1P1K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,3.2,9.6,3.2,9.6
2024-10-02,101,T16_N1P1K2,210.0,,57.5,22.0,7.0,0.0,0.0,0.0,0.0,0.0,5.565,3300.0,265.0,40.0,55.0,9.34,,6.93,57.0,93.5,11.5,71.0,0.535,0.2,0.0,24.0,33.0,68,6.38,24.1,24.6,344.0,24.7,25.9,68.8,1.0,1.0,5.0,Si,0.344,247.0,Tomatoes,Quindio,3.7,9.6,3.7,9.6
2024-10-02,102,T16_N1P1K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,4.2,9.6,4.2,9.6
2024-10-02,103,T10_N1P0K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,9.6,5.4,9.6
2024-10-02,104,T10_N1P0K0,206.0,,58.2,23.0,14.0,0.0,0.0,0.0,0.0,0.0,5.405,3400.0,400.0,41.5,850.0,9.25,,6.67,22.5,130.0,11.0,53.0,0.483,,0.0,18.0,25.0,51,6.4,21.7,24.2,257.0,24.3,25.6,69.3,1.0,1.0,5.0,Si,0.257,243.0,Tomatoes,Quindio,5.9,9.6,5.9,9.6
2024-10-02,105,T10_N1P0K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,6.4,9.6,6.4,9.6
2024-10-02,106,T22_N2P0K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,7.6,9.6,7.6,9.6
2024-10-02,107,T22_N2P0K1,164.0,,56.1,20.0,7.0,0.0,0.0,0.0,0.0,0.0,5.575,3700.0,205.0,50.0,1850.0,10.195,,6.63,46.0,96.5,13.5,81.5,0.533,,0.0,14.0,20.0,40,6.47,24.0,24.2,205.0,23.5,25.5,66.5,1.0,1.0,5.0,Si,0.205,235.0,Tomatoes,Quindio,8.1,9.6,8.1,9.6
2024-10-02,108,T22_N2P0K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,8.6,9.6,8.6,9.6
2024-10-02,109,T12_N1P2K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,8.6,10.8,8.6,10.8
2024-10-02,110,T12_N1P2K0,203.0,,56.5,21.0,8.0,0.0,0.0,0.0,0.0,0.0,5.465,3100.0,455.0,44.0,730.0,9.82,5.7,6.79,15.0,40.0,4.0,25.0,0.169,,0.0,8.0,12.0,24,6.49,23.4,24.2,125.0,23.7,25.6,70.8,1.0,1.0,5.0,Si,0.125,237.0,Tomatoes,Quindio,8.1,10.8,8.1,10.8
2024-10-02,111,T12_N1P2K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,7.6,10.8,7.6,10.8
2024-10-02,112,T28_BIO-N0P0K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,6.4,10.8,6.4,10.8
2024-10-02,113,T28_BIO-N0P0K0,199.0,,56.2,25.0,12.0,0.0,0.0,0.0,0.0,0.0,5.36,3100.0,110.0,43.0,750.0,9.27,,6.99,10.0,7.0,3.0,6.0,0.066,,0.0,12.0,16.0,33,6.47,25.0,24.2,168.0,24.7,25.6,68.3,1.0,1.0,5.0,Si,0.168,247.0,Tomatoes,Quindio,5.9,10.8,5.9,10.8
2024-10-02,114,T28_BIO-N0P0K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,10.8,5.4,10.8
2024-10-02,115,T1_N0P0K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,4.2,10.8,4.2,10.8
2024-10-02,116,T1_N0P0K0,204.0,,52.1,30.0,16.0,0.0,0.0,0.0,0.0,0.0,5.545,3400.0,420.0,49.5,490.0,10.42,,6.66,42.0,86.0,7.0,45.5,0.41,,0.0,14.0,20.0,41,6.43,26.6,25.0,210.0,26.7,25.8,69.9,1.0,1.0,5.0,Si,0.21,267.0,Tomatoes,Quindio,3.7,10.8,3.7,10.8
2024-10-02,117,T1_N0P0K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,3.2,10.8,3.2,10.8
2024-10-02,118,T14_N1P0K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,2.0,10.8,2.0,10.8
2024-10-02,119,T14_N1P0K2,242.0,,56.3,20.0,21.0,0.0,0.0,0.0,0.0,0.0,5.635,3800.0,87.0,44.5,795.0,9.865,,6.52,61.5,110.0,14.0,100.0,0.555,,0.0,10.0,14.0,29,6.46,30.7,24.6,147.0,73.6,24.9,73.9,1.0,1.0,5.0,Si,0.147,736.0,Tomatoes,Quindio,1.5,10.8,1.5,10.8
2024-10-02,120,T14_N1P0K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.0,10.8,1.0,10.8
2024-10-02,121,T5_N0P0K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.0,12.0,1.0,12.0
2024-10-02,122,T5_N0P0K2,202.0,,51.6,25.0,9.0,0.0,0.0,0.0,0.0,0.0,5.505,3450.0,150.0,45.0,2050.0,9.925,,6.96,8.5,16.5,3.5,14.5,0.083,,0.0,10.0,14.0,29,6.35,26.2,23.0,144.0,63.4,23.3,77.6,1.0,1.0,5.0,Si,0.144,634.0,Tomatoes,Quindio,1.5,12.0,1.5,12.0
2024-10-02,123,T5_N0P0K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,2.0,12.0,2.0,12.0
2024-10-02,124,T30_BIO N2P2K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,3.2,12.0,3.2,12.0
2024-10-02,125,T30_BIO N2P2K2,227.0,,55.4,20.0,11.0,0.0,0.0,0.0,0.0,0.0,5.54,3100.0,120.0,42.0,840.0,9.95,,6.82,53.0,15.0,17.0,12.0,0.304,,0.0,18.0,25.0,52,6.51,23.6,22.6,263.0,25.8,22.6,77.4,1.0,1.0,5.0,Si,0.263,258.0,Tomatoes,Quindio,3.7,12.0,3.7,12.0
2024-10-02,126,T30_BIO N2P2K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,4.2,12.0,4.2,12.0
2024-10-02,127,T3_N0P2K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,12.0,5.4,12.0
2024-10-02,128,T3_N0P2K0,202.0,,53.1,27.0,9.0,0.0,0.0,0.0,0.0,0.0,5.48,3250.0,555.0,52.0,505.0,10.005,,6.92,9.0,34.5,4.0,22.0,0.142,,0.0,15.0,21.0,42,6.42,23.8,22.6,214.0,14.8,22.7,80.1,1.0,1.0,5.0,Si,0.214,148.0,Tomatoes,Quindio,5.9,12.0,5.9,12.0
2024-10-02,129,T3_N0P2K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,6.4,12.0,6.4,12.0
2024-10-02,130,T7_N0P1K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,7.6,12.0,7.6,12.0
2024-10-02,131,T7_N0P1K2,183.0,,52.1,19.0,6.0,0.0,0.0,0.0,0.0,0.0,5.485,3500.0,435.0,49.5,1300.0,10.87,,6.69,45.0,103.0,19.0,95.5,0.515,,0.0,13.0,18.0,37,6.58,24.1,22.6,189.0,11.2,22.7,79.2,1.0,1.0,5.0,Si,0.189,112.0,Tomatoes,Quindio,8.1,12.0,8.1,12.0
2024-10-02,132,T7_N0P1K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,8.6,12.0,8.6,12.0
2024-10-02,133,T21_N2P2K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,8.6,13.2,8.6,13.2
2024-10-02,134,T21_N2P2K0,210.0,,57.6,16.0,9.0,0.0,0.0,0.0,0.0,0.0,5.64,3050.0,190.0,49.0,530.0,7.555,,7.17,78.5,38.5,27.5,61.0,0.527,,0.0,18.0,26.0,52,6.45,26.0,22.6,263.0,12.6,22.7,76.8,1.0,1.0,5.0,Si,0.263,126.0,Tomatoes,Quindio,8.1,13.2,8.1,13.2
2024-10-02,135,T21_N2P2K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,7.6,13.2,7.6,13.2
2024-10-02,136,T23_N2P0K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,6.4,13.2,6.4,13.2
2024-10-02,137,T23_N2P0K2,208.0,,53.9,36.0,6.0,0.0,0.0,0.0,0.0,0.0,5.3,3050.0,825.0,43.5,975.0,10.94,,6.92,12.5,74.0,7.0,25.0,0.267,0.6,0.0,16.0,23.0,46,6.44,21.9,22.6,234.0,14.0,22.7,77.3,1.0,1.0,5.0,Si,0.234,140.0,Tomatoes,Quindio,5.9,13.2,5.9,13.2
2024-10-02,138,T23_N2P0K2,,,,,,1.0,0.1853,230.0,67.0,0.0,,,,,,,,,,,,,,,73.21110262286733,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,13.2,5.4,13.2
2024-10-02,139,T20_N2P1K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,4.2,13.2,4.2,13.2
2024-10-02,140,T20_N2P1K0,206.0,,59.5,20.0,12.0,0.0,0.0,0.0,0.0,0.0,5.625,3400.0,305.0,45.5,1550.0,9.6,,6.88,7.5,32.5,2.5,15.0,0.116,,0.0,11.0,15.0,31,6.42,22.6,22.6,159.0,33.9,22.7,79.6,1.0,1.0,5.0,Si,0.159,339.0,Tomatoes,Quindio,3.7,13.2,3.7,13.2
2024-10-02,141,T20_N2P1K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,3.2,13.2,3.2,13.2
2024-10-02,142,T18_N1P2K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,2.0,13.2,2.0,13.2
2024-10-02,143,T18_N1P2K2,129.0,,56.2,21.0,6.0,0.0,0.0,0.0,0.0,0.0,5.45,3050.0,730.0,55.0,1300.0,10.915,2.5,6.86,13.5,22.0,3.0,12.0,0.129,,0.0,16.0,22.0,45,6.38,32.8,23.8,231.0,79.4,23.9,78.6,1.0,1.0,5.0,Si,0.231,794.0,Tomatoes,Quindio,1.5,13.2,1.5,13.2
2024-10-02,144,T18_N1P2K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.0,13.2,1.0,13.2
2024-10-02,145,T6_N0P1K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.0,14.4,1.0,14.4
2024-10-02,146,T6_N0P1K1,220.0,,54.7,29.0,6.0,0.0,0.0,0.0,0.0,0.0,5.525,3350.0,345.0,46.0,2150.0,9.745,,6.96,61.5,50.5,6.5,77.0,0.364,,0.0,12.0,17.0,35,6.57,35.7,23.0,178.0,27.0,23.8,69.8,1.0,1.0,5.0,Si,0.178,270.0,Tomatoes,Quindio,1.5,14.4,1.5,14.4
2024-10-02,147,T6_N0P1K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,2.0,14.4,2.0,14.4
2024-10-02,148,T17_N1P2K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,3.2,14.4,3.2,14.4
2024-10-02,149,T17_N1P2K1,200.0,,54.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,5.435,3500.0,130.0,52.0,450.0,9.555,,6.97,82.5,51.0,24.5,84.5,0.493,,0.0,12.0,17.0,35,6.44,23.9,23.0,181.0,26.3,23.7,72.5,1.0,1.0,5.0,Si,0.181,263.0,Tomatoes,Quindio,3.7,14.4,3.7,14.4
2024-10-02,150,T17_N1P2K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,4.2,14.4,4.2,14.4
2024-10-02,151,T25_N2P1K2,,,,,,1.0,0.1413,206.0,65.0,0.0,,,,,,,,,,,,,,,65.57168321874204,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,14.4,5.4,14.4
2024-10-02,152,T25_N2P1K2,201.0,,52.2,24.0,16.0,1.0,0.1902,232.0,77.5,0.0,5.685,3550.0,165.0,49.5,2000.0,9.525,,6.84,63.0,98.5,8.0,150.0,0.492,,73.84772090654444,7.0,10.0,20,6.34,35.4,23.8,102.0,25.8,23.7,72.4,1.0,1.0,5.0,Si,0.102,258.0,Tomatoes,Quindio,5.9,14.4,5.9,14.4
2024-10-02,153,T25_N2P1K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,6.4,14.4,6.4,14.4
2024-10-02,154,T29_BIO N1P1K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,7.6,14.4,7.6,14.4
2024-10-02,155,T29_BIO N1P1K1,204.0,,54.6,21.0,2.0,0.0,0.0,0.0,0.0,0.0,5.35,3600.0,82.0,46.0,3600.0,10.32,,7.0,190.0,60.0,63.0,58.0,1.091,,0.0,16.0,23.0,46,6.34,25.4,22.6,236.0,10.2,23.1,74.3,1.0,1.0,5.0,Si,0.236,102.0,Tomatoes,Quindio,8.1,14.4,8.1,14.4
2024-10-02,156,T29_BIO N1P1K1,,,,,,2.0,0.3989,226.0,72.5,0.0,,,,,,,,,,,,,,,71.93786605551311,,,,,,,,,,,,,,,,,Tomate ,Quindío,8.6,14.4,8.6,14.4
2024-10-02,157,T2_N0P1K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,8.6,15.6,8.6,15.6
2024-10-02,158,T2_N0P1K0,209.0,,48.4,20.0,8.0,0.0,0.0,0.0,0.0,0.0,5.44,3500.0,290.0,44.0,1400.0,9.88,7.8,6.8,27.0,77.0,12.0,67.5,0.399,,0.0,4.0,6.0,12,6.42,21.4,22.6,61.0,11.2,23.4,73.8,1.0,1.0,5.0,Si,0.061,112.0,Tomatoes,Quindio,8.1,15.6,8.1,15.6
2024-10-02,159,T2_N0P1K0,,,,,,1.0,0.272,254.0,79.0,0.0,,,,,,,,,,,,,,,80.85052202699262,,,,,,,,,,,,,,,,,Tomate ,Quindío,7.6,15.6,7.6,15.6
2024-10-02,160,T19_N2P0K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,6.4,15.6,6.4,15.6
2024-10-02,161,T19_N2P0K0,175.0,,49.8,16.0,6.0,0.0,0.0,0.0,0.0,0.0,5.43,3350.0,110.0,47.5,2350.0,8.98,,7.0,8.0,29.5,4.0,21.0,0.112,,0.0,6.0,8.0,17,6.14,24.1,23.0,85.0,14.9,23.7,71.8,1.0,1.0,5.0,Si,0.085,149.0,Tomatoes,Quindio,5.9,15.6,5.9,15.6
2024-10-02,162,T19_N2P0K0,,,,,,1.0,0.187,220.0,70.5,0.0,,,,,,,,,,,,,,,70.0280112044818,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,15.6,5.4,15.6
2024-10-02,163,T8_N0P2K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,4.2,15.6,4.2,15.6
2024-10-02,164,T8_N0P2K1,198.0,,59.5,18.0,4.0,0.0,0.0,0.0,0.0,0.0,5.28,3250.0,920.0,54.5,980.0,12.735,,6.84,31.0,140.0,16.5,72.5,0.557,0.2,0.0,6.0,8.0,17,6.29,28.0,23.4,87.0,24.7,23.5,74.3,1.0,1.0,5.0,Si,0.087,247.0,Tomatoes,Quindio,3.7,15.6,3.7,15.6
2024-10-02,165,T8_N0P2K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,3.2,15.6,3.2,15.6
2024-10-02,166,T15_N1P1K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,2.0,15.6,2.0,15.6
2024-10-02,167,T15_N1P1K1,204.0,,58.7,25.0,7.0,1.0,0.0787,172.0,58.0,0.0,5.415,3100.0,615.0,43.0,630.0,10.645,,6.86,18.5,66.0,6.0,70.5,0.261,,54.749172396231224,5.0,8.0,16,6.48,27.1,23.0,83.0,25.9,24.0,71.7,1.0,1.0,5.0,Si,0.083,259.0,Tomatoes,Quindio,1.5,15.6,1.5,15.6
2024-10-02,168,T15_N1P1K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.0,15.6,1.0,15.6
2024-10-02,169,T24_N2P1K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.0,16.8,1.0,16.8
2024-10-02,170,T24_N2P1K1,207.0,,58.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,5.4,3250.0,245.0,41.5,3000.0,9.985,5.0,6.84,17.5,49.0,9.5,53.5,0.231,,0.0,23.0,32.0,66,6.41,22.7,23.4,332.0,24.3,24.3,66.0,1.0,1.0,5.0,Si,0.332,243.0,Tomatoes,Quindio,1.5,16.8,1.5,16.8
2024-10-02,171,T24_N2P1K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,6.9,92.0,56.0,17.0,100.0,0.598,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,2.0,16.8,2.0,16.8
2024-10-02,172,T11_N1P1K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,3.2,16.8,3.2,16.8
2024-10-02,173,T11_N1P1K0,209.0,,55.8,33.0,13.0,0.0,0.0,0.0,0.0,0.0,5.655,3300.0,410.0,52.5,1700.0,10.22,,6.81,23.5,115.0,14.0,75.0,0.451,,0.0,8.0,12.0,24,6.59,25.7,23.4,124.0,19.9,24.7,67.7,1.0,1.0,5.0,Si,0.124,199.0,Tomatoes,Quindio,3.7,16.8,3.7,16.8
2024-10-02,174,T11_N1P1K0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,4.2,16.8,4.2,16.8
2024-10-02,175,T27_N2P2K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,16.8,5.4,16.8
2024-10-02,176,T27_N2P2K2,210.0,,58.2,27.0,6.0,0.0,0.0,0.0,0.0,0.0,5.44,3400.0,595.0,54.0,760.0,10.625,,7.09,40.5,41.0,10.5,35.0,0.3,,0.0,4.0,5.0,11,6.55,26.1,23.4,60.0,17.6,24.8,69.8,1.0,1.0,5.0,Si,0.06,176.0,Tomatoes,Quindio,5.9,16.8,5.9,16.8
2024-10-02,177,T27_N2P2K2,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,6.4,16.8,6.4,16.8
2024-10-02,178,T4_N0P0K1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Tomate ,Quindío,7.6,16.8,7.6,16.8
2024-10-02,179,T4_N0P0K1,203.0,,57.8,19.0,10.0,2.0,0.255,182.0,71.5,0.0,5.52,3200.0,210.0,49.5,600.0,9.105,,6.66,51.0,215.0,26.5,150.0,0.849,0.2,57.93226381461675,4.0,6.0,12,6.59,26.7,24.2,60.0,24.4,24.8,67.9,1.0,1.0,5.0,Si,0.06,244.0,Tomatoes,Quindio,8.1,16.8,8.1,16.8
2024-10-02,180,T4_N0P0K1,,,,,,1.0,0.1677,215.0,71.5,0.0,,,,,,,,,,,,,,,68.43646549528903,,,,,,,,,,,,,,,,,Tomate ,Quindío,8.6,16.8,8.6,16.8
2024-10-09,1,T27_N2P2K2,,,,,,5.0,1.005,220.0,70.0,0.0,,,,,,,,,,,,,,,70.0280112044818,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.0,0.0,1.0,0.0
2024-10-09,2,T27_N2P2K2,,,,,,4.0,0.713,225.0,70.4,0.0,,,,,,,,,,,,,,,71.61955691367456,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.5,0.0,1.5,0.0
2024-10-09,3,T27_N2P2K2,210.0,,61.7,29.0,8.0,2.0,0.341,200.0,70.0,0.0,5.5,3500.0,39.0,38.0,110.0,9.56,,7.5,30.0,21.0,11.0,22.0,0.169,,63.66182836771072,3.0,5.0,10,6.83,26.4,22.0,54.0,43.5,22.5,86.2,1.0,1.0,5.0,Si,0.054,435.0,Tomatoes,Quindio,2.0,0.0,2.0,0.0
2024-10-09,4,T24_N2P1K1,,,,,,2.0,0.249,195.0,60.6,0.0,,,,,,,,,,,,,,,62.070282658517954,,,,,,,,,,,,,,,,,Tomate ,Quindío,3.2,0.0,3.2,0.0
