Fecha,Tratamiento,Altura planta (cm),Clorofila (SPAD),Numero flores ,Numero frutos cosechados ,Peso frutos cosechados (Kg),Tamanno altura (mm),pH_savia,K_savia (ppm),Ca_savia (ppm),Na_savia (ppm),NO3_savia (ppm),Conductividad_savia (mS/cm),pH_suelo_Horiba,K_suelo_Horiba (ppm),Ca_suelo_Horiba (ppm),Na_suelo_Horiba (ppm),NO3_suelo_Horiba (ppm),Conductividad_suelo_Horiba (mS/cm),Tamanno cintura (mm),7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],Tratamiento iniciado,7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],N,P,K,Año,Mes,Día,Tratamiento_num
2024-09-25,T30_BIO N2P2K2,173.0,57.9,16.0,,,,5.6,3600.0,290.0,66.0,1100.0,10.66,5.9,18.0,17.0,3.0,29.0,0.121,,6.37,28.3,24.5,25.9,69.0,Si,0.207,384.0,2,2,2,2024,9,25,30.0
2024-09-25,T20_N2P1K0,185.0,60.2,18.0,,,,5.5,3000.0,220.0,59.0,1200.0,9.85,5.7,39.0,38.0,3.0,75.0,0.235,,6.4,22.1,24.9,26.6,67.5,Si,0.528,238.0,2,1,0,2024,9,25,20.0
2024-09-25,T18_N1P2K2,201.0,61.0,24.0,,,,5.5,3300.0,680.0,60.0,1100.0,12.15,5.6,130.0,14.0,3.0,150.0,0.536,,6.36,16.2,24.9,26.5,62.5,Si,1.058,155.0,1,2,2,2024,9,25,18.0
2024-09-25,T29_BIO N1P1K1,197.0,55.4,21.0,,,,5.5,3000.0,390.0,78.0,1800.0,12.25,7.0,36.0,13.0,2.0,42.0,0.159,,6.36,26.4,24.9,26.1,66.6,Si,0.242,145.0,1,1,1,2024,9,25,29.0
2024-09-25,T25_N2P1K2,199.0,50.0,15.0,,,,5.4,3300.0,470.0,65.0,1300.0,11.7,6.4,110.0,40.0,6.0,210.0,0.5,,6.38,21.8,24.9,25.7,65.6,Si,0.914,803.0,2,1,2,2024,9,25,25.0
2024-09-25,T19_N2P0K0,201.0,55.7,18.0,,,,5.5,3200.0,360.0,57.0,1800.0,10.31,6.4,21.0,6.0,2.0,25.0,0.098,,6.36,23.3,24.9,25.8,68.4,Si,0.544,247.0,2,0,0,2024,9,25,19.0
2024-09-25,T2_N0P1K0,191.0,53.4,12.0,,,,5.6,3400.0,230.0,63.0,1800.0,10.05,5.7,150.0,96.0,6.0,260.0,0.778,,6.36,24.1,25.3,26.3,63.9,Si,0.299,130.0,0,1,0,2024,9,25,2.0
2024-09-25,T6_N0P1K1,198.0,60.3,21.0,,,,5.6,3400.0,170.0,46.0,1300.0,9.73,6.2,31.0,10.0,2.0,47.0,0.137,,6.45,30.5,24.9,26.4,66.5,Si,0.383,154.0,0,1,1,2024,9,25,6.0
2024-09-25,T17_N1P2K1,190.0,53.7,17.0,,,,5.6,3500.0,61.0,41.0,1900.0,8.1,5.8,49.0,28.0,3.0,94.0,0.249,,6.46,24.4,24.9,26.3,70.4,Si,0.216,597.0,1,2,1,2024,9,25,17.0
2024-09-25,T11_N1P1K0,185.0,58.2,17.0,,,,5.45,3400.0,120.0,52.0,2200.0,9.32,6.9,17.0,7.0,2.0,19.0,0.09,,6.71,26.8,25.7,27.2,62.2,Si,0.3,269.0,1,1,0,2024,9,25,11.0
2024-09-25,T8_N0P2K1,189.0,54.6,17.0,,,,5.6,3300.0,130.0,45.0,1600.0,9.47,6.1,100.0,21.0,4.0,94.0,0.534,,6.39,20.4,25.3,27.7,62.4,Si,0.582,166.0,0,2,1,2024,9,25,8.0
2024-09-25,T9_N0P2K2,,,,,,,,,,,,,,,,,,,,6.41,26.7,25.7,27.8,59.1,Si,0.268,250.0,0,2,2,2024,9,25,9.0
2024-09-25,T13_N1P0K1,,,,,,,,,,,,,,,,,,,,6.54,32.5,25.7,26.8,67.5,Si,0.257,844.0,1,0,1,2024,9,25,13.0
2024-09-25,T26_N2P2K1,,,,,,,,,,,,,,,,,,,,6.52,25.5,25.3,26.2,72.4,Si,0.292,725.0,2,2,1,2024,9,25,26.0
2024-09-25,T16_N1P1K2,,,,,,,,,,,,,,,,,,,,6.5,26.8,26.1,27.7,60.6,Si,0.267,805.0,1,1,2,2024,9,25,16.0
2024-09-25,T10_N1P0K0,,,,,,,,,,,,,,,,,,,,6.66,25.6,25.3,27.5,62.2,Si,0.292,175.0,1,0,0,2024,9,25,10.0
2024-09-25,T22_N2P0K1,,,,,,,,,,,,,,,,,,,,6.59,26.3,25.7,27.4,67.0,Si,0.245,252.0,2,0,1,2024,9,25,22.0
2024-09-25,T7_N0P1K2,,,,,,,,,,,,,,,,,,,,6.36,24.6,25.9,29.3,54.2,Si,0.181,278.0,0,1,2,2024,9,25,7.0
2024-09-25,T24_N2P1K1,208.0,58.7,23.0,,,,,,,,,,6.41,250.0,160.0,15.0,400.0,1.349,,,,,,,,,,2,1,1,2024,9,25,24.0
2024-10-02,T27_N2P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,2,2,2024,10,2,27.0
2024-10-02,T27_N2P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.37,27.7,23.8,25.2,67.2,Si,0.111,90.0,2,2,2,2024,10,2,27.0
2024-10-02,T27_N2P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,2,2,2024,10,2,27.0
2024-10-02,T24_N2P1K1,,,,1.0,0.1455,68.0,,,,,,,,,,,,,63.66182836771072,,,,,,,,,2,1,1,2024,10,2,24.0
2024-10-02,T24_N2P1K1,,,,,,,,,,,,,,,,,,,,6.58,28.3,23.8,24.5,73.1,Si,0.13,70.0,2,1,1,2024,10,2,24.0
2024-10-02,T24_N2P1K1,,,,2.0,0.2785,71.8,,,,,,,,,,,,,62.547746371275785,,,,,,,,,2,1,1,2024,10,2,24.0
2024-10-02,T4_N0P0K1,,,,2.0,0.2772,69.0,,,,,,,,,,,,,63.184364654952894,6.72,22.1,23.8,24.3,72.5,Si,0.204,76.0,0,0,1,2024,10,2,4.0
2024-10-02,T4_N0P0K1,,,,2.0,0.288,71.25,,,,,,,,,,,,,63.184364654952894,,,,,,,,,0,0,1,2024,10,2,4.0
2024-10-02,T15_N1P1K1,,,,2.0,0.2175,64.5,,,,,,,,,,,,,112.99974535268652,,,,,,,,,1,1,1,2024,10,2,15.0
2024-10-02,T15_N1P1K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.52,25.7,23.8,24.1,73.7,Si,0.07,82.0,1,1,1,2024,10,2,15.0
2024-10-02,T15_N1P1K1,,,,0.0,0.0,0.0,,,,,,,6.8,12.0,6.0,0.5,6.0,0.065,0.0,,,,,,,,,1,1,1,2024,10,2,15.0
2024-10-02,T9_N0P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,2,2,2024,10,2,9.0
2024-10-02,T9_N0P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.52,32.0,23.8,24.2,72.3,Si,0.069,70.0,0,2,2,2024,10,2,9.0
2024-10-02,T9_N0P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,2,2,2024,10,2,9.0
2024-10-02,T13_N1P0K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,0,1,2024,10,2,13.0
2024-10-02,T13_N1P0K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.6,25.2,23.8,24.3,74.1,Si,0.086,75.0,1,0,1,2024,10,2,13.0
2024-10-02,T13_N1P0K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,0,1,2024,10,2,13.0
2024-10-02,T22_N2P0K1,,,,2.0,0.254,74.0,,,,,,,,,,,,,57.77310924369748,,,,,,,,,2,0,1,2024,10,2,22.0
2024-10-02,T22_N2P0K1,,,,4.0,0.618,71.0,,,,,,,,,,,,,65.25337407690348,6.5,25.0,23.8,24.6,72.6,Si,0.082,76.0,2,0,1,2024,10,2,22.0
2024-10-02,T22_N2P0K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,0,1,2024,10,2,22.0
2024-10-02,T10_N1P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,0,0,2024,10,2,10.0
2024-10-02,T10_N1P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.58,23.7,23.8,24.9,66.5,Si,0.093,86.0,1,0,0,2024,10,2,10.0
2024-10-02,T10_N1P0K0,,,,1.0,0.1404,70.0,,,,,,,,,,,,,63.34351922587217,,,,,,,,,1,0,0,2024,10,2,10.0
2024-10-02,T28_BIO-N0P0K0,,,,1.0,0.1284,65.5,,,,,,,,,,,,,62.38859180035651,,,,,,,,,0,0,0,2024,10,2,28.0
2024-10-02,T28_BIO-N0P0K0,,,,2.0,0.3538,71.5,,,,,,,,,,,,,68.75477463712758,6.63,24.9,25.0,26.6,64.8,Si,0.148,240.0,0,0,0,2024,10,2,28.0
2024-10-02,T28_BIO-N0P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,0,0,2024,10,2,28.0
2024-10-02,T12_N1P2K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,2,0,2024,10,2,12.0
2024-10-02,T12_N1P2K0,,,,1.0,0.0857,57.0,,,,,,,,,,,,,54.11255411255412,6.53,24.3,25.4,26.7,63.9,Si,0.135,265.0,1,2,0,2024,10,2,12.0
2024-10-02,T12_N1P2K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,2,0,2024,10,2,12.0
2024-10-02,T26_N2P2K1,,,,1.0,0.1189,67.5,,,,,,,,,,,,,61.433664374840845,,,,,,,,,2,2,1,2024,10,2,26.0
2024-10-02,T26_N2P2K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.61,27.5,25.8,26.9,63.0,Si,0.15,265.0,2,2,1,2024,10,2,26.0
2024-10-02,T26_N2P2K1,,,,1.0,0.1749,70.0,,,,,,,,,,,,,69.70970206264325,,,,,,,,,2,2,1,2024,10,2,26.0
2024-10-02,T16_N1P1K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,1,2,2024,10,2,16.0
2024-10-02,T16_N1P1K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.57,18.7,25.8,26.9,58.5,Si,0.26,298.0,1,1,2,2024,10,2,16.0
2024-10-02,T16_N1P1K2,,,,2.0,0.2508,65.5,,,,,,,,,,,,,59.6829640947288,,,,,,,,,1,1,2,2024,10,2,16.0
2024-10-02,T1_N0P0K0,,,,1.0,0.1597,76.0,,,,,,,,,,,,,63.98013750954927,,,,,,,,,0,0,0,2024,10,2,1.0
2024-10-02,T1_N0P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.67,18.0,24.3,26.3,69.2,Si,0.071,247.0,0,0,0,2024,10,2,1.0
2024-10-02,T1_N0P0K0,,,,1.0,0.1012,66.5,,,,,,,,,,,,,54.43086325439267,,,,,,,,,0,0,0,2024,10,2,1.0
2024-10-02,T14_N1P0K2,,,,2.0,0.2741,41.0,,,,,,,,,,,,,73.68856633562515,,,,,,,,,1,0,2,2024,10,2,14.0
2024-10-02,T14_N1P0K2,,,,1.0,0.0411,71.5,,,,,,,,,,,,,46.79144385026738,6.62,26.4,26.2,26.9,63.7,Si,0.152,164.0,1,0,2,2024,10,2,14.0
2024-10-02,T14_N1P0K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,0,2,2024,10,2,14.0
2024-10-02,T7_N0P1K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,1,2,2024,10,2,7.0
2024-10-02,T7_N0P1K2,,,,1.0,0.1001,54.0,,,,,,,,,,,,,60.47873694932519,6.52,22.7,25.8,26.9,62.7,Si,0.167,156.0,0,1,2,2024,10,2,7.0
2024-10-02,T7_N0P1K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,1,2,2024,10,2,7.0
2024-10-02,T3_N0P2K0,,,,2.0,0.3214,75.25,,,,,,,,,,,,,67.48153806977336,,,,,,,,,0,2,0,2024,10,2,3.0
2024-10-02,T3_N0P2K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.43,26.0,24.6,25.9,65.1,Si,0.153,94.0,0,2,0,2024,10,2,3.0
2024-10-02,T3_N0P2K0,,,,2.0,0.3919,71.75,,,,,,,,,,,,,81.16883116883118,,,,,,,,,0,2,0,2024,10,2,3.0
2024-10-02,T23_N2P0K2,,,,1.0,0.1493,69.0,,,,,,,,,,,,,65.57168321874204,,,,,,,,,2,0,2,2024,10,2,23.0
2024-10-02,T23_N2P0K2,,,,1.0,0.1367,63.0,,,,,,,,,,,,,65.25337407690348,6.58,18.4,24.6,25.9,70.4,Si,0.529,296.0,2,0,2,2024,10,2,23.0
2024-10-02,T23_N2P0K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,0,2,2024,10,2,23.0
2024-10-02,T21_N2P2K0,,,,2.0,0.2664,62.0,,,,,,,,,,,,,65.41252864782277,,,,,,,,,2,2,0,2024,10,2,21.0
2024-10-02,T21_N2P2K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.42,20.0,25.1,26.5,61.4,Si,0.204,240.0,2,2,0,2024,10,2,21.0
2024-10-02,T21_N2P2K0,,,,2.0,0.3358,74.0,,,,,,,7.4,4.0,27.0,2.0,0.5,0.066,70.34632034632035,,,,,,,,,2,2,0,2024,10,2,21.0
2024-10-02,T5_N0P0K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,0,2,2024,10,2,5.0
2024-10-02,T5_N0P0K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.61,21.2,25.1,26.4,63.1,Si,0.353,235.0,0,0,2,2024,10,2,5.0
2024-10-02,T5_N0P0K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,0,2,2024,10,2,5.0
2024-10-02,T30_BIO N2P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,2,2,2024,10,2,30.0
2024-10-02,T30_BIO N2P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.61,24.5,24.7,26.3,58.5,Si,0.256,176.0,2,2,2,2024,10,2,30.0
2024-10-02,T30_BIO N2P2K2,,,,1.0,0.0478,43.0,,,,,,,,,,,,,49.65622612681436,,,,,,,,,2,2,2,2024,10,2,30.0
2024-10-02,T20_N2P1K0,,,,1.0,0.1289,60.5,,,,,,,,,,,,,64.93506493506493,,,,,,,,,2,1,0,2024,10,2,20.0
2024-10-02,T20_N2P1K0,,,,1.0,0.1756,71.5,,,,,,,,,,,,,70.0280112044818,6.57,23.2,24.7,26.3,67.0,Si,0.087,243.0,2,1,0,2024,10,2,20.0
2024-10-02,T20_N2P1K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,1,0,2024,10,2,20.0
2024-10-02,T18_N1P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,2,2,2024,10,2,18.0
2024-10-02,T18_N1P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.51,24.9,25.1,26.4,66.3,Si,0.211,240.0,1,2,2,2024,10,2,18.0
2024-10-02,T18_N1P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,2,2,2024,10,2,18.0
2024-10-02,T29_BIO N1P1K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,1,1,2024,10,2,29.0
2024-10-02,T29_BIO N1P1K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.34,21.5,25.1,26.7,60.1,Si,0.195,252.0,1,1,1,2024,10,2,29.0
2024-10-02,T29_BIO N1P1K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,1,1,2024,10,2,29.0
2024-10-02,T25_N2P1K2,,,,1.0,0.2106,71.0,,,,,,,,,,,,,75.43926661573721,,,,,,,,,2,1,2,2024,10,2,25.0
2024-10-02,T25_N2P1K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.46,20.8,24.6,25.7,69.8,Si,0.201,283.0,2,1,2,2024,10,2,25.0
2024-10-02,T25_N2P1K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,1,2,2024,10,2,25.0
2024-10-02,T19_N2P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,0,0,2024,10,2,19.0
2024-10-02,T19_N2P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.34,21.9,25.0,25.7,65.9,Si,0.284,269.0,2,0,0,2024,10,2,19.0
2024-10-02,T19_N2P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,0,0,2024,10,2,19.0
2024-10-02,T2_N0P1K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,1,0,2024,10,2,2.0
2024-10-02,T2_N0P1K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.37,25.1,24.2,25.5,71.3,Si,0.118,298.0,0,1,0,2024,10,2,2.0
2024-10-02,T2_N0P1K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,1,0,2024,10,2,2.0
2024-10-02,T6_N0P1K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,1,1,2024,10,2,6.0
2024-10-02,T6_N0P1K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.37,23.9,23.8,25.4,67.3,Si,0.171,290.0,0,1,1,2024,10,2,6.0
2024-10-02,T6_N0P1K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,1,1,2024,10,2,6.0
2024-10-02,T17_N1P2K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,2,1,2024,10,2,17.0
2024-10-02,T17_N1P2K1,,,,1.0,0.1517,64.0,,,,,,,,,,,,,66.84491978609626,6.42,25.9,23.8,25.5,66.4,Si,0.138,269.0,1,2,1,2024,10,2,17.0
2024-10-02,T17_N1P2K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,2,1,2024,10,2,17.0
2024-10-02,T11_N1P1K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,1,0,2024,10,2,11.0
2024-10-02,T11_N1P1K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.43,31.6,23.8,24.2,74.2,Si,0.07,81.0,1,1,0,2024,10,2,11.0
2024-10-02,T11_N1P1K0,,,,1.0,0.1115,61.0,,,,,,,,,,,,,57.93226381461675,,,,,,,,,1,1,0,2024,10,2,11.0
2024-10-02,T8_N0P2K1,,,,1.0,0.1419,65.0,,,,,,,,,,,,,66.20830150241915,,,,,,,,,0,2,1,2024,10,2,8.0
2024-10-02,T8_N0P2K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.48,22.4,23.8,25.5,69.4,Si,0.254,276.0,0,2,1,2024,10,2,8.0
2024-10-02,T8_N0P2K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,2,1,2024,10,2,8.0
2024-10-02,T9_N0P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,2,2,2024,10,2,9.0
2024-10-02,T9_N0P2K2,223.0,60.2,19.0,0.0,0.0,0.0,5.475,3650.0,145.0,46.0,1600.0,10.255,7.01,25.5,20.0,6.0,17.0,0.182,0.0,6.26,26.0,24.6,25.6,68.3,Si,0.245,244.0,0,2,2,2024,10,2,9.0
2024-10-02,T9_N0P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,2,2,2024,10,2,9.0
2024-10-02,T13_N1P0K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,0,1,2024,10,2,13.0
2024-10-02,T13_N1P0K1,185.0,59.9,23.0,0.0,0.0,0.0,5.425,3150.0,540.0,67.0,535.0,10.465,7.11,46.0,40.5,8.0,28.0,0.311,0.0,6.15,23.2,25.0,25.6,69.3,Si,0.303,245.0,1,0,1,2024,10,2,13.0
2024-10-02,T13_N1P0K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,0,1,2024,10,2,13.0
2024-10-02,T26_N2P2K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,2,1,2024,10,2,26.0
2024-10-02,T26_N2P2K1,213.0,57.1,26.0,0.0,0.0,0.0,5.57,3750.0,220.0,49.0,1100.0,10.325,6.96,165.0,82.5,37.5,165.0,0.951,0.0,6.49,28.1,24.6,25.4,70.3,Si,0.208,303.0,2,2,1,2024,10,2,26.0
2024-10-02,T26_N2P2K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,2,1,2024,10,2,26.0
2024-10-02,T16_N1P1K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,1,2,2024,10,2,16.0
2024-10-02,T16_N1P1K2,210.0,57.5,22.0,0.0,0.0,0.0,5.565,3300.0,265.0,40.0,55.0,9.34,6.93,57.0,93.5,11.5,71.0,0.535,0.0,6.38,24.1,24.6,25.9,68.8,Si,0.344,247.0,1,1,2,2024,10,2,16.0
2024-10-02,T16_N1P1K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,1,2,2024,10,2,16.0
2024-10-02,T10_N1P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,0,0,2024,10,2,10.0
2024-10-02,T10_N1P0K0,206.0,58.2,23.0,0.0,0.0,0.0,5.405,3400.0,400.0,41.5,850.0,9.25,6.67,22.5,130.0,11.0,53.0,0.483,0.0,6.4,21.7,24.2,25.6,69.3,Si,0.257,243.0,1,0,0,2024,10,2,10.0
2024-10-02,T10_N1P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,0,0,2024,10,2,10.0
2024-10-02,T22_N2P0K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,0,1,2024,10,2,22.0
2024-10-02,T22_N2P0K1,164.0,56.1,20.0,0.0,0.0,0.0,5.575,3700.0,205.0,50.0,1850.0,10.195,6.63,46.0,96.5,13.5,81.5,0.533,0.0,6.47,24.0,24.2,25.5,66.5,Si,0.205,235.0,2,0,1,2024,10,2,22.0
2024-10-02,T22_N2P0K1,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,0,1,2024,10,2,22.0
2024-10-02,T12_N1P2K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,2,0,2024,10,2,12.0
2024-10-02,T12_N1P2K0,203.0,56.5,21.0,0.0,0.0,0.0,5.465,3100.0,455.0,44.0,730.0,9.82,6.79,15.0,40.0,4.0,25.0,0.169,0.0,6.49,23.4,24.2,25.6,70.8,Si,0.125,237.0,1,2,0,2024,10,2,12.0
2024-10-02,T12_N1P2K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,2,0,2024,10,2,12.0
2024-10-02,T28_BIO-N0P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,0,0,2024,10,2,28.0
2024-10-02,T28_BIO-N0P0K0,199.0,56.2,25.0,0.0,0.0,0.0,5.36,3100.0,110.0,43.0,750.0,9.27,6.99,10.0,7.0,3.0,6.0,0.066,0.0,6.47,25.0,24.2,25.6,68.3,Si,0.168,247.0,0,0,0,2024,10,2,28.0
2024-10-02,T28_BIO-N0P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,0,0,2024,10,2,28.0
2024-10-02,T1_N0P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,0,0,2024,10,2,1.0
2024-10-02,T1_N0P0K0,204.0,52.1,30.0,0.0,0.0,0.0,5.545,3400.0,420.0,49.5,490.0,10.42,6.66,42.0,86.0,7.0,45.5,0.41,0.0,6.43,26.6,25.0,25.8,69.9,Si,0.21,267.0,0,0,0,2024,10,2,1.0
2024-10-02,T1_N0P0K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,0,0,2024,10,2,1.0
2024-10-02,T14_N1P0K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,0,2,2024,10,2,14.0
2024-10-02,T14_N1P0K2,242.0,56.3,20.0,0.0,0.0,0.0,5.635,3800.0,87.0,44.5,795.0,9.865,6.52,61.5,110.0,14.0,100.0,0.555,0.0,6.46,30.7,24.6,24.9,73.9,Si,0.147,736.0,1,0,2,2024,10,2,14.0
2024-10-02,T14_N1P0K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1,0,2,2024,10,2,14.0
2024-10-02,T5_N0P0K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,0,2,2024,10,2,5.0
2024-10-02,T5_N0P0K2,202.0,51.6,25.0,0.0,0.0,0.0,5.505,3450.0,150.0,45.0,2050.0,9.925,6.96,8.5,16.5,3.5,14.5,0.083,0.0,6.35,26.2,23.0,23.3,77.6,Si,0.144,634.0,0,0,2,2024,10,2,5.0
2024-10-02,T5_N0P0K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,0,2,2024,10,2,5.0
2024-10-02,T30_BIO N2P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,2,2,2024,10,2,30.0
2024-10-02,T30_BIO N2P2K2,227.0,55.4,20.0,0.0,0.0,0.0,5.54,3100.0,120.0,42.0,840.0,9.95,6.82,53.0,15.0,17.0,12.0,0.304,0.0,6.51,23.6,22.6,22.6,77.4,Si,0.263,258.0,2,2,2,2024,10,2,30.0
2024-10-02,T30_BIO N2P2K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2,2,2,2024,10,2,30.0
2024-10-02,T3_N0P2K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,2,0,2024,10,2,3.0
2024-10-02,T3_N0P2K0,202.0,53.1,27.0,0.0,0.0,0.0,5.48,3250.0,555.0,52.0,505.0,10.005,6.92,9.0,34.5,4.0,22.0,0.142,0.0,6.42,23.8,22.6,22.7,80.1,Si,0.214,148.0,0,2,0,2024,10,2,3.0
2024-10-02,T3_N0P2K0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,2,0,2024,10,2,3.0
2024-10-02,T7_N0P1K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,1,2,2024,10,2,7.0
2024-10-02,T7_N0P1K2,183.0,52.1,19.0,0.0,0.0,0.0,5.485,3500.0,435.0,49.5,1300.0,10.87,6.69,45.0,103.0,19.0,95.5,0.515,0.0,6.58,24.1,22.6,22.7,79.2,Si,0.189,112.0,0,1,2,2024,10,2,7.0
2024-10-02,T7_N0P1K2,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0,1,2,2024,10,2,7.0
