weight_3_Potassium_RF,weight_3_Potassium_SVM,weight_3_Potassium_KNN,weight_3_Potassium_MLP,weight_3_Potassium_XGB
Sap K (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm)
Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm)
Sap Ca (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Ca (ppm),Sap K (ppm)
Soil K Horiba (ppm),Soil pH Horiba,Sap Ca (ppm),Sap pH,Soil K Horiba (ppm)
Soil pH Horiba,Sap Na (ppm),Soil pH Horiba,Chlorophyll (SPAD),Sap Na (ppm)
Sap Na (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm)
Air_sensor_Humidity(%RH),Sap NO3 (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Soil pH Horiba
Chlorophyll (SPAD),Soil Na Horiba (ppm),Pynamometer_Radiation(W/m2),Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm)
Sap NO3 (ppm),Soil Ca Horiba (ppm),Air_sensor_Humidity(%RH),Soil pH Horiba,Sap pH
Air_sensor_Temperature(C),Air_sensor_Humidity(%RH),7in1_Moisture(%RH),Sap Na (ppm),Sap NO3 (ppm)
Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C),Soil Ca Horiba (ppm),Soil NO3 Horiba (ppm),Chlorophyll (SPAD)
Soil NO3 Horiba (ppm),Sap pH,7in1_Ph(pH),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm)
Soil Na Horiba (ppm),Pynamometer_Radiation(W/m2),Sap pH,Pynamometer_Radiation(W/m2),
