Model,Nitrogen,std Nitrogen,Phosphorus,std Phosphorus,Potassium,std Potassium
KNN,0.7296,0.0123,0.7114,0.018,0.7366,0.0188
MLP,0.7295,0.0143,0.7326,0.0188,0.7517,0.0141
RF,0.7832,0.0146,0.7639,0.0168,0.7981,0.0163
SVM,0.7397,0.0165,0.7385,0.0191,0.7634,0.0194
XGB,0.7875,0.0181,0.7956,0.0127,0.8135,0.0141
