weight_3_Nitrogen_RF,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_XGB
Soil NO3 Horiba (ppm),Sap Na (ppm),Sap Na (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Chlorophyll (SPAD),7in1_S_Temperature(C),Sap Ca (ppm),Sap Na (ppm),Sap Na (ppm)
Sap Conductivity (mS/cm),Sap Ca (ppm),Sap NO3 (ppm),Air_sensor_Temperature(C),Sap Conductivity (mS/cm)
Sap NO3 (ppm),Sap Conductivity (mS/cm),7in1_Moisture(%RH),Sap NO3 (ppm),Sap Ca (ppm)
Sap Ca (ppm),Soil NO3 Horiba (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm),Soil K Horiba (ppm)
Sap Na (ppm),Soil Conductivity Horiba (mS/cm),Sap K (ppm),Soil Conductivity Horiba (mS/cm),Chlorophyll (SPAD)
Sap K (ppm),Chlorophyll (SPAD),Soil pH Horiba,Sap Conductivity (mS/cm),Soil Conductivity Horiba (mS/cm)
Soil K Horiba (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap NO3 (ppm)
Soil Ca Horiba (ppm),7in1_Moisture(%RH),Air_sensor_Humidity(%RH),Soil K Horiba (ppm),Soil Na Horiba (ppm)
Soil Na Horiba (ppm),Sap K (ppm),Chlorophyll (SPAD),Soil Na Horiba (ppm),Sap K (ppm)
Air_sensor_Temperature(C),Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Sap K (ppm),7in1_S_Temperature(C)
Soil Conductivity Horiba (mS/cm),Soil pH Horiba,Air_sensor_Temperature(C),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm)
7in1_S_Temperature(C),Pynamometer_Radiation(W/m2),Soil Conductivity Horiba (mS/cm),Chlorophyll (SPAD),
