weight_2_Quartiles_RF,weight_2_Quartiles_SVM,weight_2_Quartiles_KNN,weight_2_Quartiles_MLP,weight_2_Quartiles_XGB
Soil K Horiba (ppm),Sap NO3 (ppm),Soil pH Horiba,Soil Ca Horiba (ppm),Soil K Horiba (ppm)
Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm)
Sap Na (ppm),7in1_S_Temperature(C),Sap Na (ppm),Sap Ca (ppm),Sap Na (ppm)
Soil Ca Horiba (ppm),Soil K Horiba (ppm),Soil Ca Horiba (ppm),Sap Na (ppm),Soil Ca Horiba (ppm)
Soil pH Horiba,Sap Ca (ppm),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm)
Soil Conductivity Horiba (mS/cm),Soil Na Horiba (ppm),Sap Ca (ppm),Soil Na Horiba (ppm),Chlorophyll (SPAD)
Chlorophyll (SPAD),Sap Na (ppm),Sap Conductivity (mS/cm),Soil pH Horiba,Sap Ca (ppm)
7in1_S_Temperature(C),Soil pH Horiba,Air_sensor_Temperature(C),7in1_S_Temperature(C),Sap Conductivity (mS/cm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil Na Horiba (ppm),Air_sensor_Temperature(C),Soil pH Horiba
Soil NO3 Horiba (ppm),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Soil K Horiba (ppm),7in1_Conductivity(mS/cm)
Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap K (ppm),Air_sensor_Humidity(%RH),
Soil Na Horiba (ppm),Chlorophyll (SPAD),7in1_Moisture(%RH),,
