weight_2_Quartiles_RF,weight_2_Quartiles_SVM,weight_2_Quartiles_KNN,weight_2_Quartiles_MLP,weight_2_Quartiles_XGB
Soil K Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil K Horiba (ppm)
Sap NO3 (ppm),Sap NO3 (ppm),Soil pH Horiba,Soil Ca Horiba (ppm),Sap NO3 (ppm)
Sap Na (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Ca (ppm),Sap Na (ppm)
Soil Ca Horiba (ppm),Soil K Horiba (ppm),Sap Na (ppm),Sap Na (ppm),Soil Ca Horiba (ppm)
Soil pH Horiba,Sap Ca (ppm),Soil Ca Horiba (ppm),Soil Na Horiba (ppm),Soil NO3 Horiba (ppm)
Soil Conductivity Horiba (mS/cm),Sap Na (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Chlorophyll (SPAD)
Chlorophyll (SPAD),Soil Na Horiba (ppm),Sap K (ppm),Air_sensor_Temperature(C),Sap Ca (ppm)
7in1_S_Temperature(C),Soil pH Horiba,Air_sensor_Temperature(C),Soil pH Horiba,7in1_S_Temperature(C)
Sap Conductivity (mS/cm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Soil pH Horiba
Soil NO3 Horiba (ppm),Sap Conductivity (mS/cm),7in1_Moisture(%RH),Air_sensor_Humidity(%RH),
Air_sensor_Temperature(C),7in1_Moisture(%RH),Sap Conductivity (mS/cm),Chlorophyll (SPAD),
Soil Na Horiba (ppm),Sap K (ppm),Pynamometer_Radiation(W/m2),,
