weight_3_Potassium_RF,weight_3_Potassium_SVM,weight_3_Potassium_KNN,weight_3_Potassium_MLP,weight_3_Potassium_XGB
Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Pynamometer_Radiation(W/m2),Sap Conductivity (mS/cm),Sap Ca (ppm)
Soil K Horiba (ppm),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Conductivity (mS/cm)
Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Soil pH Horiba,Sap Na (ppm)
Sap Na (ppm),Air_sensor_Temperature(C),Soil pH Horiba,Sap Na (ppm),Soil K Horiba (ppm)
Soil pH Horiba,Sap NO3 (ppm),Sap Na (ppm),Sap NO3 (ppm),Soil pH Horiba
Chlorophyll (SPAD),Soil pH Horiba,Chlorophyll (SPAD),Soil Ca Horiba (ppm),Sap NO3 (ppm)
Sap NO3 (ppm),Sap Na (ppm),Sap NO3 (ppm),Pynamometer_Radiation(W/m2),Soil NO3 Horiba (ppm)
Air_sensor_Humidity(%RH),Pynamometer_Radiation(W/m2),Soil Ca Horiba (ppm),Soil Na Horiba (ppm),Chlorophyll (SPAD)
Air_sensor_Temperature(C),Chlorophyll (SPAD),7in1_Moisture(%RH),Air_sensor_Humidity(%RH),Soil Conductivity Horiba (mS/cm)
7in1_Ph(pH),Soil Ca Horiba (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Soil Ca Horiba (ppm)
Pynamometer_Radiation(W/m2),Air_sensor_Humidity(%RH),Air_sensor_Temperature(C),Sap pH,Pynamometer_Radiation(W/m2)
7in1_S_Temperature(C),Soil Na Horiba (ppm),7in1_Ph(pH),Chlorophyll (SPAD),7in1_Ph(pH)
