weight_3_Nitrogen_RF,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_XGB
Soil NO3 Horiba (ppm),Sap Na (ppm),Sap NO3 (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Chlorophyll (SPAD),7in1_S_Temperature(C),Sap Ca (ppm),Air_sensor_Temperature(C),Sap Conductivity (mS/cm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil Conductivity Horiba (mS/cm),Sap Na (ppm)
Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm),Sap Na (ppm),Sap NO3 (ppm),Sap Ca (ppm)
Sap Ca (ppm),Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Sap Na (ppm),Soil Conductivity Horiba (mS/cm)
Sap Na (ppm),Sap Ca (ppm),Pynamometer_Radiation(W/m2),7in1_S_Temperature(C),Chlorophyll (SPAD)
Sap K (ppm),Chlorophyll (SPAD),Soil pH Horiba,Sap Conductivity (mS/cm),Soil K Horiba (ppm)
Soil K Horiba (ppm),Sap NO3 (ppm),Sap K (ppm),Sap Ca (ppm),Soil Na Horiba (ppm)
Soil Ca Horiba (ppm),Air_sensor_Temperature(C),7in1_S_Temperature(C),Sap K (ppm),Sap NO3 (ppm)
Soil Na Horiba (ppm),7in1_Moisture(%RH),7in1_Moisture(%RH),Chlorophyll (SPAD),Sap K (ppm)
Air_sensor_Temperature(C),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Soil Ca Horiba (ppm),7in1_S_Temperature(C)
Soil Conductivity Horiba (mS/cm),Sap K (ppm),Soil Ca Horiba (ppm),7in1_Conductivity(mS/cm),Air_sensor_Temperature(C)
7in1_S_Temperature(C),Soil pH Horiba,7in1_Ph(pH),Soil Na Horiba (ppm),Soil Ca Horiba (ppm)
