weight_3_Potassium_RF,weight_3_Potassium_SVM,weight_3_Potassium_KNN,weight_3_Potassium_MLP,weight_3_Potassium_XGB
Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm)
Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm)
Soil K Horiba (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm)
Sap Ca (ppm),7in1_S_Temperature(C),Soil pH Horiba,Soil Ca Horiba (ppm),Sap Na (ppm)
Sap Na (ppm),Soil pH Horiba,Pynamometer_Radiation(W/m2),Soil pH Horiba,Soil pH Horiba
Soil pH Horiba,Chlorophyll (SPAD),Sap NO3 (ppm),Sap Na (ppm),Soil K Horiba (ppm)
Chlorophyll (SPAD),Pynamometer_Radiation(W/m2),Sap Na (ppm),7in1_S_Temperature(C),Chlorophyll (SPAD)
Sap NO3 (ppm),Sap Na (ppm),Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Sap pH
Air_sensor_Humidity(%RH),Air_sensor_Temperature(C),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Sap NO3 (ppm)
Air_sensor_Temperature(C),Sap NO3 (ppm),7in1_S_Temperature(C),Sap pH,Soil Conductivity Horiba (mS/cm)
7in1_Ph(pH),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil K Horiba (ppm),7in1_Ph(pH)
Pynamometer_Radiation(W/m2),Sap pH,7in1_Moisture(%RH),Soil Na Horiba (ppm),Soil Ca Horiba (ppm)
7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Soil NO3 Horiba (ppm),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2)
