weight_3_Potassium_RF,weight_3_Potassium_SVM,weight_3_Potassium_KNN,weight_3_Potassium_MLP,weight_3_Potassium_XGB
Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap Ca (ppm)
Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Soil K Horiba (ppm)
Soil K Horiba (ppm),Soil pH Horiba,7in1_Moisture(%RH),Air_sensor_Humidity(%RH),Sap Conductivity (mS/cm)
Soil pH Horiba,Sap Na (ppm),Soil pH Horiba,Soil pH Horiba,Soil pH Horiba
Sap Na (ppm),Air_sensor_Humidity(%RH),Sap Na (ppm),Chlorophyll (SPAD),Soil Na Horiba (ppm)
Air_sensor_Humidity(%RH),Air_sensor_Temperature(C),Chlorophyll (SPAD),Sap pH,Soil Ca Horiba (ppm)
Chlorophyll (SPAD),Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Sap NO3 (ppm),Sap Na (ppm)
Sap NO3 (ppm),Sap pH,Sap pH,Soil Na Horiba (ppm),Chlorophyll (SPAD)
Air_sensor_Temperature(C),7in1_Moisture(%RH),Pynamometer_Radiation(W/m2),Soil Ca Horiba (ppm),Sap NO3 (ppm)
Pynamometer_Radiation(W/m2),Soil Ca Horiba (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Air_sensor_Humidity(%RH)
Soil NO3 Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Air_sensor_Temperature(C),Soil Conductivity Horiba (mS/cm)
Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Ca Horiba (ppm),Soil K Horiba (ppm),Sap pH
