weight_3_Phosphorus_RF,weight_3_Phosphorus_SVM,weight_3_Phosphorus_KNN,weight_3_Phosphorus_MLP,weight_3_Phosphorus_XGB
Air_sensor_Temperature(C),Sap NO3 (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm)
Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),Soil Ca Horiba (ppm)
Soil Conductivity Horiba (mS/cm),7in1_S_Temperature(C),Sap Na (ppm),7in1_S_Temperature(C),Sap NO3 (ppm)
7in1_S_Temperature(C),Air_sensor_Humidity(%RH),7in1_S_Temperature(C),Soil Na Horiba (ppm),Soil Na Horiba (ppm)
Air_sensor_Humidity(%RH),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap pH,Soil K Horiba (ppm)
Soil K Horiba (ppm),Chlorophyll (SPAD),Soil pH Horiba,Soil pH Horiba,Soil NO3 Horiba (ppm)
Sap NO3 (ppm),Soil pH Horiba,Air_sensor_Temperature(C),Sap Conductivity (mS/cm),Sap Na (ppm)
Soil pH Horiba,Soil Na Horiba (ppm),Sap Ca (ppm),Air_sensor_Humidity(%RH),Chlorophyll (SPAD)
Chlorophyll (SPAD),Sap pH,Soil Ca Horiba (ppm),Sap Na (ppm),Sap Conductivity (mS/cm)
Soil Na Horiba (ppm),Sap Na (ppm),Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Air_sensor_Humidity(%RH)
Sap Ca (ppm),Pynamometer_Radiation(W/m2),7in1_Moisture(%RH),Sap K (ppm),Sap Ca (ppm)
Sap Na (ppm),Sap K (ppm),Pynamometer_Radiation(W/m2),Soil K Horiba (ppm),Soil pH Horiba
Soil NO3 Horiba (ppm),Air_sensor_Temperature(C),Sap K (ppm),Sap Ca (ppm),Sap pH
Sap pH,Sap Conductivity (mS/cm),Sap pH,,Air_sensor_Temperature(C)
