weight_3_Potassium_RF,weight_3_Potassium_SVM,weight_3_Potassium_KNN,weight_3_Potassium_MLP,weight_3_Potassium_XGB
Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm)
Sap Conductivity (mS/cm),Sap K (ppm),Pynamometer_Radiation(W/m2),Sap K (ppm),Sap Conductivity (mS/cm)
Soil K Horiba (ppm),Sap Ca (ppm),Sap K (ppm),Sap Ca (ppm),Sap Ca (ppm)
Sap Ca (ppm),Soil pH Horiba,Sap Ca (ppm),Soil pH Horiba,Sap Na (ppm)
Sap Na (ppm),7in1_S_Temperature(C),Soil pH Horiba,Soil Ca Horiba (ppm),Soil K Horiba (ppm)
Soil pH Horiba,Chlorophyll (SPAD),Sap Na (ppm),Chlorophyll (SPAD),Soil pH Horiba
Chlorophyll (SPAD),Pynamometer_Radiation(W/m2),Chlorophyll (SPAD),7in1_S_Temperature(C),Chlorophyll (SPAD)
Sap NO3 (ppm),Sap Na (ppm),Sap NO3 (ppm),Sap Na (ppm),Pynamometer_Radiation(W/m2)
Air_sensor_Humidity(%RH),Air_sensor_Temperature(C),7in1_Moisture(%RH),Pynamometer_Radiation(W/m2),Sap NO3 (ppm)
Air_sensor_Temperature(C),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),7in1_Ph(pH),Soil Ca Horiba (ppm)
7in1_Ph(pH),Soil Ca Horiba (ppm),7in1_S_Temperature(C),Soil K Horiba (ppm),7in1_Ph(pH)
Pynamometer_Radiation(W/m2),Sap NO3 (ppm),7in1_Ph(pH),Sap pH,Soil Conductivity Horiba (mS/cm)
7in1_S_Temperature(C),7in1_Moisture(%RH),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil NO3 Horiba (ppm)
