weight_3_Nitrogen_RF,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_XGB
Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Chlorophyll (SPAD),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Na (ppm)
Sap Conductivity (mS/cm),Sap Na (ppm),Sap Na (ppm),Air_sensor_Temperature(C),Chlorophyll (SPAD)
Sap NO3 (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm),Sap Ca (ppm)
Sap Ca (ppm),7in1_Moisture(%RH),7in1_Moisture(%RH),7in1_S_Temperature(C),Sap Conductivity (mS/cm)
Sap Na (ppm),Soil Conductivity Horiba (mS/cm),Soil pH Horiba,Sap Na (ppm),Soil Conductivity Horiba (mS/cm)
Sap K (ppm),Sap pH,Sap Conductivity (mS/cm),Sap NO3 (ppm),Sap NO3 (ppm)
Soil K Horiba (ppm),Sap NO3 (ppm),Sap K (ppm),Chlorophyll (SPAD),Soil Na Horiba (ppm)
Soil Ca Horiba (ppm),Sap Conductivity (mS/cm),Pynamometer_Radiation(W/m2),Sap Conductivity (mS/cm),Soil K Horiba (ppm)
Soil Na Horiba (ppm),Soil pH Horiba,7in1_S_Temperature(C),Sap K (ppm),Sap K (ppm)
Air_sensor_Temperature(C),Soil NO3 Horiba (ppm),Air_sensor_Temperature(C),7in1_Moisture(%RH),7in1_Ph(pH)
Soil Conductivity Horiba (mS/cm),Air_sensor_Temperature(C),Soil Ca Horiba (ppm),Sap pH,7in1_Moisture(%RH)
7in1_S_Temperature(C),Sap K (ppm),Air_sensor_Humidity(%RH),7in1_Conductivity(mS/cm),7in1_S_Temperature(C)
